"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,30.493917,9.030020,8.528137,8.756089,4.179672,,,
1991,29.585253,7.321553,8.228427,9.492974,4.542299,,,
1992,30.867430,6.125220,9.388843,10.308197,5.045170,,,
1993,33.120133,6.519564,9.997888,11.434794,5.167888,,,
1994,35.235649,7.585114,9.901082,12.344896,5.404557,,,
1995,38.183513,8.301048,10.893870,13.676518,5.312077,,,
1996,43.640049,12.239305,11.093202,14.862008,5.445534,,,
1997,49.822482,13.504595,14.646027,15.768728,5.903132,,,
1998,50.396074,16.139902,12.706082,16.618440,4.931650,,,
1999,52.670846,18.300654,12.337141,16.807671,5.225380,,,
2000,50.017727,15.220174,12.274450,17.057113,5.465990,,,
2001,48.047554,13.593717,12.934200,16.096956,5.422680,,,
2002,48.651198,14.665002,11.982780,16.619782,5.383634,,,
2003,49.632030,16.122443,12.109110,16.408739,4.991739,,,
2004,54.229867,19.614340,11.994076,16.999145,5.622306,,,
2005,54.607813,18.852048,11.965814,18.572916,5.217035,,,
2006,55.840526,19.194172,13.176092,18.317237,5.153025,,,
2007,65.078984,25.418764,14.191482,19.920989,5.547750,,,
2008,66.433038,26.070865,13.786962,20.772095,5.803116,,,
2009,63.927065,24.184807,12.944047,20.776490,6.021722,,,
2010,64.103650,24.702298,12.140232,20.303999,6.939002,0.018120,,
2011,72.234548,30.395919,13.325750,21.225710,7.268089,0.019079,,
2012,77.001343,32.249975,15.639280,22.206566,6.795979,0.109544,,
2013,75.245021,29.808464,14.712709,24.094523,6.492166,0.137158,,
2014,71.880885,27.088973,15.836112,22.590885,6.236575,0.128341,,
2015,77.610275,30.752964,15.629176,24.447977,6.668220,0.111939,,
2016,81.071637,32.080066,15.518127,25.877527,7.587337,0.008581,,
2017,81.533263,31.568272,15.202849,26.725662,8.025942,0.010539,,
2018,82.150034,30.762676,15.260517,27.956507,8.166295,0.004039,,
2019,82.895186,31.294305,15.113874,28.529916,7.954020,0.003070,,
2020,77.946888,29.794671,15.144026,25.360012,7.645716,0.002464,,
2021,83.900173,32.405824,15.464740,27.811990,8.215095,0.002524,,
2022,83.704194,28.998318,16.398209,29.983425,8.313619,0.010624,,
