"Year","Coal","Natural gas","Hydro","Wind","Solar"
2020,0.748581,-0.017154,-1.515000,0.007000,0.015000
2021,-0.544794,0.003608,2.122000,0.120000,0.027000
2022,-0.171944,0.004476,-2.049000,0.010000,0.042000
2023,-1.265358,-0.000943,2.017000,-0.035000,0.139000
2024,0.037646,-0.008040,-1.658000,0.036000,0.348000
2025,-0.571151,0,-0.435307,0.256216,0.396688
2026,-0.634591,0,0.756681,0.044889,0.079774
