"Year","Rwanda","World"
1950,0.007813,2.378734
1951,0.007538,2.515504
1952,0.013512,2.502896
1953,0.012047,2.524970
1954,0.004850,2.527923
1955,0.005625,2.716614
1956,0.006344,2.835461
1957,0.007010,2.869636
1958,0.006782,2.891376
1959,0.025454,2.985590
1960,0.023103,3.112931
1961,0.029450,3.071906
1962,0.026451,3.120741
1963,0.025859,3.215595
1964,0.010987,3.315825
1965,0.013914,3.391959
1966,0.012485,3.484865
1967,0.011104,3.523155
1968,0.014679,3.640223
1969,0.015183,3.802135
1970,0.014727,4.032588
1971,0.015192,4.112597
1972,0.015627,4.219747
1973,0.016022,4.355556
1974,0.016378,4.253289
1975,0.038169,4.173319
1976,0.056358,4.310191
1977,0.054717,4.352449
1978,0.057487,4.432504
1979,0.057189,4.465701
1980,0.092400,4.364099
1981,0.108716,4.168842
1982,0.106490,4.060496
1983,0.117887,4.023942
1984,0.103784,4.068703
1985,0.097440,4.137420
1986,0.091433,4.122175
1987,0.090587,4.179654
1988,0.099354,4.262697
1989,0.095237,4.241189
1990,0.071029,4.266701
1991,0.062726,4.282473
1992,0.062407,4.090168
1993,0.060511,4.068620
1994,0.068036,4.047994
1995,0.079501,4.083544
1996,0.069169,4.148108
1997,0.062220,4.114970
1998,0.059582,4.044522
1999,0.061661,4.079117
2000,0.062715,4.133621
2001,0.062627,4.107635
2002,0.060897,4.144280
2003,0.058862,4.307030
2004,0.058497,4.399256
2005,0.056757,4.493561
2006,0.055285,4.585831
2007,0.056773,4.661509
2008,0.054209,4.682571
2009,0.055150,4.545518
2010,0.056310,4.744937
2011,0.060845,4.848876
2012,0.066341,4.854014
2013,0.070208,4.837742
2014,0.073016,4.804597
2015,0.083057,4.739116
2016,0.088261,4.682487
2017,0.095863,4.705259
2018,0.105147,4.752195
2019,0.110636,4.747814
2020,0.106714,4.457744
2021,0.127219,4.634748
2022,0.143376,4.678452
2023,0.144471,4.707772
2024,0.142640,4.729075
