"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
2006,-5.958158,1.449948,0.318877,0,0.126565,0.005392,-0.049685,0
2007,-6.016648,1.481766,0.320158,0,0.124986,0.005631,-0.048712,0
2008,-6.075138,1.513584,0.321550,0,0.123407,0.005871,-0.082156,0
2009,-6.133209,1.545402,0.323383,0,0.121829,0.006110,-0.092559,0
2010,-6.185329,1.552059,0.323299,0,0.119130,0.006110,-0.090577,0
2011,-6.237682,1.558716,0.322181,0,0.116431,0.006110,-0.089089,0
2012,-6.288733,1.565378,0.321816,0,0.113733,0.006292,-0.087252,0
2013,-6.340435,1.572035,0.321816,0,0.111033,0.006062,-0.085581,0
2014,-6.395399,1.666609,0.320786,0,-0.100885,0.006108,-0.084162,0
2015,-6.422626,1.585214,0.321538,0.001720,0.105635,0.006110,-0.082327,0
2016,-6.495540,1.591871,0.325461,0.017851,0.102936,0.006108,-0.080535,0
2017,-6.547242,1.598259,0.327504,0.019236,0.100238,0.006108,-0.079132,0
2018,-6.598944,1.604916,0.327573,0.039260,0.097539,0.006062,-0.077511,0
2019,-6.650646,1.611977,0.327099,0.054715,0.094840,0.006110,-0.075462,0
2020,-6.702348,1.618634,0.327776,0.033037,0.092141,0.006110,-0.073774,0
2021,-6.754050,1.625291,0.326933,0.036274,0.089442,0.006110,-0.073148,0
2022,-6.804903,1.631947,0.327615,0.037008,0.086743,0.006110,-0.071317,0
