"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2013,-0.020000,0.050000,0.250000,"NaN","NaN","NaN","NaN"
2014,-0.040000,0.150000,-0.020000,"NaN","NaN","NaN","NaN"
2015,0.020000,0.200000,-0.080000,"NaN","NaN","NaN","NaN"
2016,0.030000,0.110000,0.040000,"NaN","NaN","NaN","NaN"
2017,0.060000,-0.040000,0.110000,"NaN","NaN","NaN","NaN"
2018,0.060000,0.110000,0.060000,"NaN","NaN","NaN","NaN"
2019,0.030000,0.140000,-0.230000,"NaN","NaN","NaN","NaN"
2020,-0.030000,0.360000,-0.170000,"NaN","NaN",0,"NaN"
2021,-0.110000,-0.240000,0.290000,"NaN","NaN",0,"NaN"
2022,-0.020000,-0.070000,-0.130000,"NaN","NaN",0.010000,"NaN"
