"Year","Guatemala","World"
1950,0,2.378734
1951,0,2.515504
1952,0,2.502896
1953,0,2.524970
1954,0,2.527923
1955,0,2.716614
1956,0,2.835461
1957,0,2.869636
1958,0,2.891376
1959,0,2.985590
1960,0,3.112931
1961,0,3.071906
1962,0,3.120741
1963,0,3.215595
1964,0,3.315825
1965,0,3.391959
1966,0,3.484865
1967,0,3.523155
1968,0,3.640223
1969,0,3.802135
1970,0,4.032588
1971,0,4.112597
1972,0,4.219747
1973,0,4.355556
1974,0,4.253289
1975,0,4.173319
1976,0.005909,4.310191
1977,0.003112,4.352449
1978,0.013014,4.432504
1979,0.033000,4.465701
1980,0.083738,4.364099
1981,0.087652,4.168842
1982,0.132904,4.060496
1983,0.142511,4.023942
1984,0.092898,4.068703
1985,0.066719,4.137420
1986,0.087955,4.122175
1987,0.072501,4.179654
1988,0.069574,4.262697
1989,0.066516,4.241189
1990,0.069684,4.266701
1991,0.063784,4.282473
1992,0.093292,4.090168
1993,0.104421,4.068620
1994,0.105361,4.047994
1995,0.130948,4.083544
1996,0.198063,4.148108
1997,0.257550,4.114970
1998,0.354926,4.044522
1999,0.316455,4.079117
2000,0.249211,4.133621
2001,0.273233,4.107635
2002,0.312363,4.144280
2003,0.306089,4.307030
2004,0.244911,4.399256
2005,0.218353,4.493561
2006,0.185676,4.585831
2007,0.172214,4.661509
2008,0.155847,4.682571
2009,0.147367,4.545518
2010,0.127790,4.744937
2011,0.114684,4.848876
2012,0.109216,4.854014
2013,0.092120,4.837742
2014,0.090971,4.804597
2015,0.088571,4.739116
2016,0.077961,4.682487
2017,0.082592,4.705259
2018,0.088803,4.752195
2019,0.091091,4.747814
2020,0.073085,4.457744
2021,0.058180,4.634748
2022,0,4.678452
2023,0,4.707772
2024,0,4.729075
