"Year","Guatemala","World"
1950,0.200859,2.378734
1951,0.200574,2.515504
1952,0.197638,2.502896
1953,0.203435,2.524970
1954,0.216206,2.527923
1955,0.259155,2.716614
1956,0.269323,2.835461
1957,0.263943,2.869636
1958,0.293987,2.891376
1959,0.313685,2.985590
1960,0.330796,3.112931
1961,0.335978,3.071906
1962,0.320232,3.120741
1963,0.342308,3.215595
1964,0.386989,3.315825
1965,0.419545,3.391959
1966,0.359350,3.484865
1967,0.397949,3.523155
1968,0.417940,3.640223
1969,0.433342,3.802135
1970,0.425505,4.032588
1971,0.440438,4.112597
1972,0.476281,4.219747
1973,0.503052,4.355556
1974,0.512526,4.253289
1975,0.574267,4.173319
1976,0.527708,4.310191
1977,0.594241,4.352449
1978,0.627367,4.432504
1979,0.695185,4.465701
1980,0.650912,4.364099
1981,0.557996,4.168842
1982,0.497955,4.060496
1983,0.425683,4.023942
1984,0.445503,4.068703
1985,0.445196,4.137420
1986,0.453689,4.122175
1987,0.471502,4.179654
1988,0.477134,4.262697
1989,0.476673,4.241189
1990,0.516102,4.266701
1991,0.512960,4.282473
1992,0.608196,4.090168
1993,0.569703,4.068620
1994,0.660988,4.047994
1995,0.686999,4.083544
1996,0.617921,4.148108
1997,0.687099,4.114970
1998,0.773872,4.044522
1999,0.776847,4.079117
2000,0.832820,4.133621
2001,0.847783,4.107635
2002,0.873162,4.144280
2003,0.831194,4.307030
2004,0.863244,4.399256
2005,0.919827,4.493561
2006,0.910866,4.585831
2007,0.887560,4.661509
2008,0.770335,4.682571
2009,0.824776,4.545518
2010,0.746004,4.744937
2011,0.742237,4.848876
2012,0.751958,4.854014
2013,0.811931,4.837742
2014,0.856080,4.804597
2015,0.967282,4.739116
2016,1.015671,4.682487
2017,1.025675,4.705259
2018,1.088612,4.752195
2019,1.125998,4.747814
2020,0.988453,4.457744
2021,1.135549,4.634748
2022,1.059698,4.678452
2023,1.088896,4.707772
2024,1.080085,4.729075
