"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-0.786878,17.258757,,,,
1991,-0.888619,17.452654,,,,
1992,-1.476557,17.877165,,,,
1993,-2.064496,19.810005,,,,
1994,-2.652434,20.331719,,,,
1995,-3.240372,20.626461,,,,
1996,-3.828311,19.683963,,,,
1997,-4.416249,19.810598,,,,
1998,-5.004187,20.164475,,,,
1999,-5.592126,21.426315,,,,
2000,-6.180064,21.720195,,,,
2001,-6.832390,23.348856,,,,
2002,-7.477730,23.832771,,,,
2003,-8.514393,31.702115,,,,
2004,-9.054807,22.416143,,,,
2005,-9.851600,27.942934,,,,
2006,-10.445753,25.388198,,,,
2007,-11.097761,26.888472,,,,
2008,-11.516455,25.871389,,,,
2009,-11.953503,26.816096,,,,
2010,-12.228282,25.950877,,,,
2011,-12.080711,28.003310,,,,
2012,-12.304604,25.268451,,,,
2013,-12.609227,28.011476,,,,
2014,-12.854163,27.002918,,,,
2015,-13.156419,28.610321,,,,
2016,-13.821132,36.266893,,,,
2017,-14.321554,30.149909,,,,
2018,-14.633145,30.040005,,,,
2019,-15.170922,34.986469,,,,
2020,-16.027550,41.805146,,,,
2021,-16.502677,35.905778,,,,
2022,-16.856394,33.787058,,,,
