"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,43.291927,4.852839,5.448570,1.312008,0,31.678509
1991,44.067211,5.494888,5.464664,1.392577,0,31.715082
1992,44.776349,6.379853,5.489537,1.411074,0,31.495885
1993,46.304000,6.590265,5.483701,1.443920,0,32.786113
1994,46.835321,7.223411,5.466135,1.481586,0,32.664189
1995,47.315191,8.002799,5.491844,1.505420,0,32.315128
1996,45.081826,7.576729,5.387159,1.390012,0,30.727926
1997,45.928274,8.887248,5.399289,1.431101,0,30.210636
1998,46.879073,9.980586,5.523298,1.454438,0,29.920752
1999,47.563619,9.946037,5.593855,1.484234,0,30.539493
2000,49.047078,11.528456,5.724667,1.604385,0,30.189569
2001,51.256045,11.771103,6.542829,1.649138,0,31.292975
2002,51.379877,12.236154,6.391275,1.696413,0,31.056035
2003,59.143438,10.163108,7.664492,2.371606,0,38.944232
2004,47.429437,11.781211,6.287505,1.708481,0,27.652239
2005,53.885293,10.968836,7.603358,2.254906,0.003429,33.054765
2006,50.829885,12.658456,7.015701,1.870677,0.009943,29.275107
2007,55.314136,13.468374,7.839173,2.262619,0.019258,31.724713
2008,52.004487,12.191872,7.587860,1.879163,0.031138,30.314454
2009,54.132192,13.153146,8.081596,2.109258,0.045390,30.742802
2010,52.269256,12.461196,8.205368,2.220673,0.061856,29.320164
2011,55.180504,12.740773,8.441358,2.312474,0.080410,31.605488
2012,52.531437,13.550737,8.340285,2.329922,0.100953,28.209540
2013,56.412534,14.299940,8.783652,2.496770,0.085810,30.746363
2014,55.899876,15.570668,8.630473,2.404693,0.102372,29.191671
2015,60.161503,18.078094,8.937522,2.499839,0.117813,30.528234
2016,69.754435,18.211727,10.103684,2.889610,0.131194,38.418219
2017,61.513750,18.552988,9.338232,2.653123,0.152196,30.817210
2018,61.661582,19.324401,9.307900,2.680134,0.160379,30.188769
2019,67.303274,19.239799,10.006631,2.712836,0.236319,35.107689
2020,72.706383,16.889042,11.021436,2.617044,0.334159,41.844703
2021,68.557550,20.980966,10.366200,2.367043,0.406754,34.436587
2022,64.435114,19.857293,10.337199,2.244743,0.527208,31.468670
