"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,16.471878,,,,
1991,16.564035,,,,
1992,16.400608,,,,
1993,17.745509,,,,
1994,17.679285,,,,
1995,17.386089,,,,
1996,15.855652,,,,
1997,15.394349,,,,
1998,15.160287,,,,
1999,15.834189,,,,
2000,15.540131,,,,
2001,16.516466,,,,
2002,16.355041,,,,
2003,23.187722,,,,
2004,13.361336,,,,
2005,18.091334,,,,
2006,14.942444,,,,
2007,15.790710,,,,
2008,14.354934,,,,
2009,14.862593,,,,
2010,13.722595,,,,
2011,15.922599,,,,
2012,12.963847,,,,
2013,15.402249,,,,
2014,14.148754,,,,
2015,15.453902,,,,
2016,22.445761,,,,
2017,15.828355,,,,
2018,15.406861,,,,
2019,19.815546,,,,
2020,25.777597,,,,
2021,19.403101,,,,
2022,16.930664,,,,
