"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,142.801071,120.332984,13.112116,8.493932,3.701210,-2.839171
1991,146.035940,123.391578,13.089352,8.396448,3.529802,-2.371240
1992,145.641404,122.512402,12.985676,8.097535,4.234016,-2.188226
1993,144.351846,121.441998,12.745777,8.266618,4.095184,-2.197732
1994,149.254562,124.821607,12.779610,8.719517,4.877237,-1.943409
1995,151.146673,125.955696,12.854470,9.133176,5.371632,-2.168302
1996,154.512119,129.477445,12.673281,9.480484,5.240946,-2.360036
1997,146.489787,123.998932,12.517767,9.231689,2.651222,-1.909823
1998,151.207348,130.234836,12.288899,9.237804,1.907886,-2.462078
1999,145.107419,124.695356,12.008790,9.106013,1.434226,-2.136966
2000,146.703903,126.750021,11.570669,8.468996,1.641033,-1.726816
2001,145.280125,126.056831,11.081294,8.151809,1.556404,-1.566212
2002,144.758084,126.852324,10.626830,7.834936,1.612458,-2.168463
2003,145.169750,128.258686,10.040317,7.018299,1.925665,-2.073216
2004,146.281824,128.775838,9.978088,7.219788,2.113458,-1.805348
2005,143.139796,125.619182,9.734347,7.031835,2.615538,-1.861105
2006,140.524536,123.859315,9.613658,6.243838,2.653888,-1.846163
2007,137.209157,120.449573,9.529221,5.752018,3.030795,-1.552450
2008,137.254836,120.157839,9.358238,5.746630,3.478444,-1.486315
2009,124.758141,107.757568,9.277199,5.777839,3.274097,-1.328562
2010,132.803565,114.512262,9.238996,6.312820,3.217760,-0.478273
2011,122.426692,105.104056,8.923907,5.203250,3.631804,-0.436323
2012,119.667726,102.433585,8.883158,5.228235,3.613139,-0.490391
2013,119.317665,102.763031,8.717330,5.062419,3.692977,-0.918091
2014,113.539881,97.027935,8.544986,5.029416,3.900625,-0.963080
2015,117.818944,101.274417,8.537287,4.841875,4.016538,-0.851174
2016,116.450811,99.762687,8.485997,4.729743,4.250494,-0.778110
2017,115.953489,99.228102,8.307026,4.745252,4.332717,-0.659608
2018,116.742311,100.201793,8.217513,4.530285,4.415878,-0.623158
2019,115.937386,99.743246,8.131144,4.502208,3.947826,-0.387039
2020,106.569269,91.198629,7.994318,4.369377,3.405584,-0.398639
2021,109.433880,94.870952,7.921425,4.294912,2.677005,-0.330414
2022,102.460183,88.858439,7.681095,4.009557,2.427484,-0.516392
2023,97.915165,84.646127,7.588485,3.929853,2.056764,-0.306065
