"Year","Belgium","World"
1950,8.843023,2.378734
1951,10.334983,2.515504
1952,9.597688,2.502896
1953,9.423742,2.524970
1954,9.756279,2.527923
1955,10.415309,2.716614
1956,10.896863,2.835461
1957,10.803394,2.869636
1958,9.758651,2.891376
1959,9.763429,2.985590
1960,9.988322,3.112931
1961,10.122288,3.071906
1962,10.634536,3.120741
1963,11.394615,3.215595
1964,11.090686,3.315825
1965,11.205974,3.391959
1966,11.116228,3.484865
1967,11.294507,3.523155
1968,12.402614,3.640223
1969,12.878611,3.802135
1970,13.031269,4.032588
1971,12.556125,4.112597
1972,13.475329,4.219747
1973,14.266539,4.355556
1974,13.861591,4.253289
1975,12.496633,4.173319
1976,13.288511,4.310191
1977,12.911720,4.352449
1978,13.832997,4.432504
1979,14.247418,4.465701
1980,13.712460,4.364099
1981,12.545065,4.168842
1982,11.874402,4.060496
1983,10.254752,4.023942
1984,10.630340,4.068703
1985,10.527153,4.137420
1986,10.354430,4.122175
1987,10.363759,4.179654
1988,10.058942,4.262697
1989,10.747387,4.241189
1990,12.080694,4.266701
1991,12.340904,4.282473
1992,12.195840,4.090168
1993,12.042840,4.068620
1994,12.340153,4.047994
1995,12.426359,4.083544
1996,12.750190,4.148108
1997,12.180703,4.114970
1998,12.766190,4.044522
1999,12.195411,4.079117
2000,12.366290,4.133621
2001,12.256730,4.107635
2002,12.279442,4.144280
2003,12.363996,4.307030
2004,12.360438,4.399256
2005,11.991512,4.493561
2006,11.745855,4.585831
2007,11.340029,4.661509
2008,11.223868,4.682571
2009,9.970170,4.545518
2010,10.475137,4.744937
2011,9.526450,4.848876
2012,9.226745,4.854014
2013,9.212672,4.837742
2014,8.660118,4.804597
2015,8.986651,4.739116
2016,8.807810,4.682487
2017,8.726892,4.705259
2018,8.772407,4.752195
2019,8.685236,4.747814
2020,7.907600,4.457744
2021,8.204075,4.634748
2022,7.637549,4.678452
2023,7.231635,4.707772
2024,7.279830,4.729075
