"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1960,0.533997,,0.090746,,0.299785,
1961,0.388212,,0.070125,,0.205953,
1962,0.460404,,0.067513,,0.287912,
1963,0.544045,,0.080184,,0.315200,
1964,0.597030,,0.118099,,0.312615,
1965,0.680293,,0.117809,,0.377245,
1966,0.726182,,0.179792,,0.402203,
1967,0.911157,,0.191928,,0.426989,
1968,1.026590,,0.186697,,0.456761,
1969,1.225758,,0.198305,,0.597005,
1970,1.333337,,0.261774,,0.770199,
1971,1.489927,,0.299569,,0.976420,
1972,1.689473,,0.280268,,1.028764,
1973,1.947776,,0.337806,,1.239781,
1974,1.997545,,0.320735,,1.286272,
1975,1.656736,,0.267827,,1.145338,
1976,1.770276,,0.344529,,1.280761,
1977,1.606589,,0.353525,,1.227916,
1978,1.606589,,0.390376,,1.278749,
1979,1.738106,,0.419780,,1.324474,
1980,1.693069,,0.412816,,1.302164,
1981,1.647180,,0.413009,,1.170033,
1982,1.660521,,0.365615,,1.170991,
1983,1.740945,,0.375674,,1.174437,
1984,1.763653,,0.378382,,1.236673,
1985,1.860162,,0.376061,,1.297281,
1986,1.926393,,0.489034,,1.397912,
1987,1.977486,,0.531012,,1.555033,
1988,2.032364,,0.587595,,1.596588,
1989,2.140227,,0.628703,,1.727570,
1990,2.251874,,0.628896,,1.972396,
1991,2.251874,,0.628896,,1.972396,
1992,2.251874,,0.628896,,1.972396,
1993,2.375822,,0.787521,,2.101382,
1994,2.423130,,0.939340,,2.007420,
1995,2.871613,,0.613808,,1.944342,
1996,3.070307,,0.649692,,1.928640,
1997,2.553701,,0.746802,,2.279075,
1998,3.092826,,0.950309,,2.694906,
1999,3.173439,,1.081542,,2.748142,
2000,2.821000,2.771000,1.418000,1.375000,2.759000,2.736000
2001,2.647000,2.595000,1.324200,1.289560,2.752450,2.730980
2002,2.914000,2.860000,1.490867,1.451847,2.892648,2.865280
2003,2.698000,2.650000,1.695725,1.666468,2.794078,2.764363
2004,2.641000,2.601000,1.877989,1.847405,2.774551,2.755373
2005,2.803000,2.765000,1.850000,1.823000,2.584820,2.571000
2006,2.585000,2.545000,1.972000,1.932000,3.089000,3.067000
2007,2.550000,2.510000,1.862000,1.817000,2.794000,2.762000
2008,2.295000,2.265000,1.740000,1.698000,2.404000,2.380000
2009,2.113000,2.088000,1.776223,1.743322,1.799931,1.780610
2010,2.123456,2.088964,1.875626,1.833221,2.039466,2.016474
2011,2.177291,2.143231,1.925457,1.880259,1.984362,1.959069
2012,2.177291,2.143231,1.940754,1.909514,1.853584,1.836534
2013,2.117490,2.083430,1.982370,1.955900,1.821035,1.810165
2014,2.048190,2.014130,1.827731,1.800476,2.464814,2.454323
2015,2.008190,1.974130,1.777191,1.743893,2.221296,2.213326
2016,1.958190,1.924130,1.928565,1.901077,2.395827,2.383909
2017,1.958190,1.924130,1.980129,2.025169,2.388623,2.377373
2018,1.958190,1.924130,1.948913,2.010432,2.432031,2.420513
2019,2.064060,2.030000,1.958099,2.088786,2.400140,2.603474
2020,2.203924,1.966320,2.303749,2.286420,2.532898,2.205249
2021,2.141438,2.157407,2.710555,2.444214,3.022159,2.767724
2022,2.213872,1.997364,2.299822,2.073534,2.531690,2.431966
2023,1.997364,1.997364,1.768530,1.768530,2.305229,2.305229
