"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,12.748984,0.999807,5.830663
1991,12.907773,1.065799,5.783387
1992,13.562241,1.140974,5.777908
1993,13.694952,1.279565,6.002484
1994,13.979128,1.367941,6.090568
1995,14.104765,1.416953,5.968653
1996,14.254143,1.511351,6.140700
1997,14.162415,1.618205,6.384390
1998,14.575323,1.719788,6.551090
1999,14.686716,1.802538,6.661522
2000,14.701547,1.926203,6.885704
2001,14.961564,2.040622,7.097967
2002,14.975628,2.140198,7.290085
2003,15.195946,2.242672,7.511064
2004,15.484068,2.443861,8.073736
2005,14.676580,2.496788,8.121675
2006,14.878688,2.622142,8.402006
2007,15.095262,2.755189,8.843438
2008,15.485654,2.764240,8.523592
2009,15.444723,2.722385,7.913103
2010,14.697959,2.659739,7.857079
2011,14.529242,2.648143,7.667857
2012,14.032149,2.667641,7.387249
2013,13.595990,2.561735,7.462418
2014,13.731172,2.631890,7.590160
2015,14.552389,2.864791,8.167720
2016,14.288324,2.894735,8.159047
2017,13.700167,2.897079,8.174180
2018,13.606353,2.923958,8.373151
2019,13.462353,2.904093,8.260533
2020,10.334606,2.459476,7.681887
2021,11.682279,3.172734,7.791964
2022,12.116324,3.137135,7.551048
2023,12.258391,3.309136,7.680166
2024,12.156891,3.502867,7.856510
