"Year","Belgium","World"
1950,14.836347,2.378734
1951,16.033391,2.515504
1952,16.355674,2.502896
1953,16.099449,2.524970
1954,15.581747,2.527923
1955,15.887149,2.716614
1956,15.585004,2.835461
1957,15.255073,2.869636
1958,14.109625,2.891376
1959,11.787112,2.985590
1960,11.563385,3.112931
1961,11.015737,3.071906
1962,10.776366,3.120741
1963,10.815977,3.215595
1964,10.688077,3.315825
1965,9.863962,3.391959
1966,8.671139,3.484865
1967,8.101152,3.523155
1968,7.265868,3.640223
1969,6.453070,3.802135
1970,5.618200,4.032588
1971,5.398966,4.112597
1972,5.158017,4.219747
1973,4.335044,4.355556
1974,3.971318,4.253289
1975,3.656016,4.173319
1976,3.531692,4.310191
1977,3.444520,4.352449
1978,3.206313,4.432504
1979,2.974129,4.465701
1980,3.065083,4.364099
1981,2.967795,4.168842
1982,3.157975,4.060496
1983,2.940671,4.023942
1984,3.039194,4.068703
1985,2.996564,4.137420
1986,2.692096,4.122175
1987,2.097067,4.179654
1988,1.195320,4.262697
1989,0.907848,4.241189
1990,0.463282,4.266701
1991,0.385418,4.282473
1992,0.212321,4.090168
1993,0.179590,4.068620
1994,0.122328,4.047994
1995,0.117218,4.083544
1996,0.095687,4.148108
1997,0.083871,4.114970
1998,0.070540,4.044522
1999,0.072997,4.079117
2000,0.078457,4.133621
2001,0.043246,4.107635
2002,0.034166,4.144280
2003,0.025370,4.307030
2004,0.035443,4.399256
2005,0.021227,4.493561
2006,0.005610,4.585831
2007,0,4.661509
2008,0,4.682571
2009,0,4.545518
2010,0.003506,4.744937
2011,0.003244,4.848876
2012,0.004591,4.854014
2013,0.019072,4.837742
2014,0.019088,4.804597
2015,0.015573,4.739116
2016,0.023538,4.682487
2017,0.022628,4.705259
2018,0.027132,4.752195
2019,0.028440,4.747814
2020,0.029387,4.457744
2021,0.013158,4.634748
2022,0.001944,4.678452
2023,0.001992,4.707772
2024,0.002310,4.729075
