"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,117.749319,118.326347,119.009595,118.684530,119.081013,118.817429,118.626657,118.687811,118.629561,118.784292,119.096478,118.988822,120.926612,119.982503,120.165964,120.484399,120.481839,120.309343,120.307911,120.292644,120.292799,120.297340,120.335408,120.377644
1991,123.509968,122.171301,122.063544,122.294539,122.299910,121.886734,120.889419,121.480376,120.954786,121.239679,121.554167,121.446556,122.975160,123.130653,119.721870,123.544709,123.543218,123.382082,123.378418,123.362363,123.362626,123.366651,123.396218,123.438178
1992,122.714432,121.074589,120.313884,120.709888,120.755073,118.835128,118.649865,119.138103,119.405328,119.689038,120.016315,119.908987,121.414194,122.217920,119.130117,122.657811,122.655910,122.507842,122.504884,122.488070,122.488488,122.492455,122.519254,122.690949
1993,120.887477,119.776097,119.108801,119.174872,119.354126,118.714660,117.561200,118.145969,118.404109,118.694537,119.019311,118.912127,120.399512,121.156965,118.048467,121.557284,121.555272,121.444205,121.438780,121.422702,121.423876,121.427337,121.451206,121.643295
1994,123.804542,123.657621,122.518789,122.828730,122.879813,122.928469,122.516789,122.510273,122.956462,123.169821,123.505117,123.400957,124.699296,124.426886,124.623830,124.938189,124.938749,124.816904,124.807756,124.795264,124.796749,124.800003,124.833049,124.930047
1995,127.454319,125.143262,123.618142,123.632122,123.658043,123.688215,123.297527,123.376907,123.897756,124.092146,124.427724,124.323624,125.545629,125.519442,125.762543,126.082964,126.080411,125.956473,125.941718,125.933051,125.936291,125.939199,125.969296,126.079579
1996,130.233124,129.605274,127.707029,127.761777,127.690984,127.951994,127.540177,127.594147,127.891326,128.126284,128.458101,128.354091,129.159911,129.010472,129.271934,129.583625,129.579154,129.496580,129.480003,129.474969,129.478738,129.481179,129.503280,129.636037
1997,125.727533,123.265728,122.165292,122.272116,122.202796,122.213371,121.844187,121.925739,122.324861,122.508165,122.827253,122.723096,123.423960,123.495743,123.745603,124.046825,124.042520,124.001764,123.983481,123.983505,123.990621,123.992665,124.017386,124.157686
1998,129.321926,128.663094,127.382012,127.932712,127.971938,128.340955,128.195608,128.229519,128.564232,128.746616,129.071081,128.966395,129.667373,129.737090,129.974882,130.285113,130.281497,130.227110,130.209029,130.212392,130.223497,130.225321,130.255757,130.395703
1999,126.472046,123.803999,121.985355,122.910974,122.942103,122.621312,122.537524,122.557813,123.034315,123.225734,123.552020,123.447559,124.120444,124.208072,124.391596,124.745701,124.702991,124.718898,124.700661,124.704147,124.681140,124.682831,124.718594,124.867411
2000,126.330649,125.598711,,123.985965,124.052723,123.779630,123.678194,123.796204,124.551491,124.944251,125.256161,125.151696,126.139343,126.315210,126.522282,126.794789,126.769130,126.735296,126.720241,126.719535,126.721544,126.723035,126.775706,126.879484
2001,126.803324,125.542849,123.355475,124.110271,124.155310,124.031167,124.092331,124.117416,124.664195,124.840407,125.227829,125.136436,125.528978,125.649371,125.849772,126.129006,126.119618,126.084684,126.065433,126.063796,126.066062,126.066951,126.085032,126.197940
2002,,126.584594,122.984186,123.310056,123.324540,123.168766,123.042748,123.366924,124.221006,124.661838,124.977603,125.459391,125.902985,126.015195,126.175065,126.444626,126.304980,126.878582,126.864528,126.860502,126.863014,126.863564,126.883143,126.963438
2003,,,126.203842,127.154372,127.312244,127.129856,126.951818,127.091335,127.641608,127.773913,128.167273,127.275932,127.402821,127.523990,127.659193,127.953185,127.806431,128.275265,128.250339,128.245640,128.248330,128.248589,128.292038,128.376250
2004,,,,126.591397,126.747843,126.775951,126.631950,126.758487,128.241186,128.443755,128.870460,128.071916,128.569542,128.640483,128.761638,129.040883,128.830183,128.805292,128.780768,128.778889,128.770821,128.781743,128.811730,128.935637
2005,,,,,123.328641,123.499519,123.432399,123.537568,124.859833,125.268174,125.617235,124.343568,125.028914,125.118017,125.370731,125.638202,125.519713,125.661688,125.640801,125.636389,125.627922,125.639605,125.657689,125.720208
2006,,,,,,119.107185,119.085485,119.217537,120.769731,121.398473,121.805452,121.537096,122.171298,122.319594,123.771152,124.030889,123.832914,123.905757,123.883988,123.880438,123.872982,123.884251,123.900465,123.962519
2007,,,,,,,114.544700,113.947619,116.689443,117.188644,117.442495,117.069441,117.933371,118.027409,120.352695,120.611402,120.444866,120.496162,120.479545,120.477002,120.463269,120.481205,120.493403,120.545556
2008,,,,,,,,117.175815,119.105387,120.082509,120.537513,119.452549,120.256595,120.362610,120.409811,120.659010,120.352128,120.202862,120.181246,120.175599,120.170036,120.179657,120.204350,120.258242
2009,,,,,,,,,108.348041,108.572749,108.257722,106.827261,107.303803,107.282544,107.404650,107.642367,107.699337,107.743367,107.711767,107.732357,107.765103,107.780141,107.806796,107.868059
2010,,,,,,,,,,117.709147,114.878250,113.429206,114.014143,114.155387,113.350842,113.582031,113.814068,114.561030,114.543697,114.557864,114.604106,114.489604,114.562653,114.623041
2011,,,,,,,,,,,104.472112,104.270664,104.894671,104.945714,103.929666,104.158642,104.319178,105.046058,105.025678,105.020115,105.068555,105.097977,105.158966,105.188258
2012,,,,,,,,,,,,100.659380,101.261088,100.931596,101.169884,101.394975,101.514570,102.428755,102.385920,102.355635,102.404519,102.434544,102.486235,102.525584
2013,,,,,,,,,,,,,101.662319,101.744737,101.748108,101.970442,101.578966,102.674404,102.652455,102.666433,102.714747,102.761553,102.815960,102.872461
2014,,,,,,,,,,,,,,96.325413,96.539563,96.391041,95.906477,96.811323,96.867692,96.887002,97.029247,97.033593,97.080953,97.134091
2015,,,,,,,,,,,,,,,100.248513,100.229490,99.753295,100.981344,101.055514,101.061722,101.145633,101.275021,101.327498,101.398158
2016,,,,,,,,,,,,,,,,100.243709,98.421540,99.806944,99.872138,99.601625,99.623026,99.741557,99.816282,99.878671
2017,,,,,,,,,,,,,,,,,97.563567,99.456275,99.448135,99.126283,99.055040,99.192034,99.282191,99.358669
2018,,,,,,,,,,,,,,,,,,100.207836,100.227169,99.873631,99.967324,100.158575,100.256372,100.321249
2019,,,,,,,,,,,,,,,,,,,99.745782,99.432619,99.470260,99.684187,99.798728,99.838141
2020,,,,,,,,,,,,,,,,,,,,90.368008,91.101387,91.228272,91.254554,91.328773
2021,,,,,,,,,,,,,,,,,,,,,95.668081,94.886097,94.928068,94.904032
2022,,,,,,,,,,,,,,,,,,,,,,89.002058,88.914968,88.859153
2023,,,,,,,,,,,,,,,,,,,,,,,84.703364,84.606923
2024,,,,,,,,,,,,,,,,,,,,,,,,85.499462
