"YYYYMM","Capacity share","Generation share","Generation share (smoothed)"
194712,37.298091,,
195012,32.691185,,
195603,36.763687,,
196103,41.199226,,
196603,45.685167,,
196903,45.589257,,
197403,45.643303,,
197903,43.002249,,
198003,42.266592,,
198503,36.526946,,
199003,31.237425,,
199203,30.422066,,
199703,28.888630,,
200203,29.146279,,
200601,33.577965,,
200602,33.577965,,
200603,33.693446,,
200604,33.689434,,
200605,33.697567,,
200606,33.957475,,
200607,33.953784,,
200608,34.034395,,
200609,34.091679,,
200610,34.220736,,
200611,34.220736,,
200612,34.232317,,
200701,34.351522,,
200702,34.356918,,
200703,34.999355,,
200704,35.223901,,
200705,35.614551,,
200706,35.467626,,
200707,35.606244,,
200708,35.764555,,
200709,35.760206,,
200710,35.562608,,
200711,35.425109,,
200712,35.392266,,
200801,35.571347,,
200802,35.585906,,
200803,35.756891,,
200804,35.694515,,
200805,36.210937,,
200806,36.123978,,
200807,36.042353,,
200808,36.059481,,
200809,36.180372,,
200810,36.701287,,
200811,36.765920,,
200812,36.641208,,
200901,36.705530,,
200902,36.719347,,
200903,36.657331,,
200904,36.583159,,
200905,36.307301,,
200906,36.108262,,
200907,35.929003,,
200908,35.675148,,
200909,35.649500,,
200910,35.340077,,
200911,36.077908,,
200912,36.024054,,
201001,35.993792,,
201002,36.017737,,
201003,35.724623,,
201004,35.668681,,
201005,35.886070,,
201006,35.686372,,
201007,35.451146,,
201008,35.302561,,
201009,35.379341,,
201010,35.076492,,
201011,35.142032,,
201012,34.588969,,
201101,34.620675,,
201102,35.248758,,
201103,35.018822,,
201104,34.871204,,
201105,34.904483,,
201106,34.657767,,
201107,34.957472,,
201108,34.781501,,
201109,34.905686,,
201110,34.839768,,
201111,34.335202,,
201112,34.122188,,
201201,34.012674,,
201202,34.556214,,
201203,34.157924,,
201204,33.859778,,
201205,33.670399,,
201206,33.556050,,
201207,33.454996,,
201208,33.366109,,
201209,33.226465,,
201210,33.004189,,
201211,33.166601,,
201212,33.171353,,
201301,33.080130,,
201302,32.654118,,
201303,32.153646,,
201304,32.172126,,
201305,31.956700,,
201306,31.863290,,
201307,31.863290,,
201308,31.926808,,
201309,31.808411,,
201310,31.747960,,
201311,31.932449,,
201312,31.691518,,
201401,31.593068,,
201402,31.310267,,
201403,31.396888,,
201404,31.379616,17.934626,19.264060
201405,31.038454,19.631913,19.485570
201406,30.944226,22.856485,19.730870
201407,30.876620,25.279387,20.069591
201408,30.494911,28.280083,20.434071
201409,30.415688,27.095599,20.719056
201410,30.344023,19.561253,20.863924
201411,30.300794,16.018330,20.880431
201412,30.248408,16.156256,20.849800
201501,30.281843,16.158966,20.855086
201502,30.014418,17.353086,20.921091
201503,30.481278,18.791922,21.056137
201504,30.507262,19.184455,21.075879
201505,30.527886,21.405542,20.752066
201506,30.578768,23.105114,20.133226
201507,30.534437,26.688610,19.405578
201508,30.438349,27.667523,18.761610
201509,30.327902,20.508360,18.348107
201510,30.223135,15.854740,18.227392
201511,30.494605,15.380606,18.311026
201512,30.529251,15.078581,18.481997
201601,30.299800,14.076657,18.607456
201602,30.244380,14.959643,18.595375
201603,30.260338,15.553242,18.499225
201604,30.185858,15.499985,18.495007
201605,30.160961,19.209297,18.774096
201606,30.497076,22.185812,19.293410
201607,30.484683,26.951729,19.824922
201608,30.431699,29.659054,20.170883
201609,30.778441,24.145765,20.234454
201610,30.854566,19.118894,20.015641
201611,30.705911,15.188684,19.672303
201612,31.498069,14.489099,19.400631
201701,31.778125,15.078514,19.350894
201702,31.770155,16.132432,19.652863
201703,33.198240,16.304630,20.138873
201704,32.999135,18.443267,20.487535
201705,32.893621,20.334969,20.508378
201706,33.214205,25.071698,20.202937
201707,33.226277,28.522235,19.805072
201708,33.331716,25.445481,19.564176
201709,33.731604,22.187935,19.612426
201710,33.735169,19.124819,19.960113
201711,33.821218,17.421657,20.457775
201712,34.354783,18.041472,20.812127
201801,34.267458,16.517952,20.837580
201802,34.293395,16.642970,20.561457
201803,35.202025,16.438114,20.282768
201804,35.223937,17.162129,20.351832
201805,35.244657,19.300084,20.757217
201806,35.549429,25.480564,21.288859
201807,35.651316,29.863124,21.699861
201808,35.651316,31.128143,21.840234
201809,35.910546,26.061153,21.769620
201810,36.160889,19.303819,21.647314
201811,36.143254,17.814331,21.641063
201812,36.148049,18.035069,21.881426
201901,36.325654,17.932950,22.273219
201902,36.802697,19.166395,22.565157
201903,36.576457,18.700206,22.613941
201904,36.703735,20.275763,22.502804
201905,36.882565,23.302461,22.546756
201906,36.951871,25.260920,22.974062
201907,36.963530,29.031265,23.744956
201908,37.052618,32.624542,24.659562
201909,37.088455,31.157551,25.405044
201910,37.143430,27.306445,25.733989
201911,37.318683,21.953617,25.719167
201912,37.443526,21.196821,25.610945
202001,37.565520,20.053978,25.739154
202002,37.690271,20.356848,26.177946
202003,37.672345,22.764104,26.742775
202004,37.734276,26.898685,27.117408
202005,37.749967,28.704538,27.004953
202006,37.770340,30.736841,26.361667
202007,37.776848,28.690537,25.447101
202008,37.905865,32.557633,24.581237
202009,37.988601,28.339342,24.031835
202010,38.056059,23.628104,23.864951
202011,38.182440,21.602873,23.821383
202012,38.295581,20.538358,23.620938
202101,38.538328,18.814465,23.294203
202102,38.498545,18.636004,23.068328
202103,38.577138,18.386708,23.090582
202104,38.670028,18.217315,23.330261
202105,38.772996,25.588203,23.741885
202106,39.065738,30.120475,24.212656
202107,39.295578,30.814927,24.589014
202108,39.644976,29.432317,24.790051
202109,39.816266,29.655935,24.824960
202110,40.007930,25.599130,24.810461
202111,40.131787,23.007694,24.874514
202112,40.207164,21.175067,25.058610
202201,40.282559,20.275394,25.159335
202202,40.362985,20.792254,25.055561
202203,40.898443,21.857375,24.826838
202204,41.121523,21.163066,24.601776
202205,41.390710,25.485937,24.516420
202206,41.533175,26.002613,24.679939
202207,41.587192,31.009782,25.038386
202208,41.823313,32.570227,25.491156
202209,42.106903,31.128557,25.889903
202210,42.259968,28.066493,26.084488
202211,42.316407,22.186462,25.999989
202212,42.525915,21.310104,25.680929
202301,42.555641,21.833237,25.267783
202302,42.634174,21.694140,24.910526
202303,42.972280,20.972447,24.663178
202304,43.045175,20.455183,24.512524
202305,43.191999,24.111776,24.317692
202306,43.605596,26.763778,23.963943
202307,43.749221,30.084060,23.545335
202308,43.801597,31.103033,23.103849
202309,43.749584,27.144291,22.690596
202310,43.818342,20.865377,22.419648
202311,43.896930,19.369686,22.363813
202312,43.959065,20.368348,22.513933
202401,44.079424,18.316273,22.775330
202402,43.984427,19.930596,23.019306
202403,44.969763,20.205471,23.166996
202404,45.129665,20.012636,23.296875
202405,45.364101,23.505490,23.543237
202406,45.539553,25.426620,23.940754
202407,45.805760,30.149221,24.413764
202408,46.091678,32.211915,24.911956
202409,46.308881,31.814941,25.366504
202410,46.516504,24.327150,25.666751
202411,46.786441,22.326135,25.811504
202412,47.098281,23.051491,25.872605
202501,47.260054,22.490824,25.944362
202502,47.371361,21.971940,26.076812
202503,48.036756,23.354032,26.233523
202504,49.190291,24.274925,26.463582
202505,49.523870,,
