"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,381.526016,57.408361,162.270776
1991,387.401518,58.796343,164.254234
1992,400.015563,60.487918,171.402095
1993,403.171990,63.281547,171.041404
1994,405.003140,65.273538,172.105940
1995,412.215652,67.018953,174.117729
1996,422.043021,70.553225,179.765227
1997,426.298677,72.400297,183.126184
1998,440.688243,76.328419,191.691937
1999,451.897157,79.203307,194.926959
2000,449.941914,79.710980,195.646418
2001,457.782195,83.488470,198.983628
2002,467.821971,83.757820,198.962696
2003,472.745859,86.226622,200.528188
2004,479.761994,89.023241,207.826406
2005,476.496401,88.706428,212.941745
2006,483.140483,91.090778,217.195406
2007,485.401448,92.782555,216.113915
2008,477.632969,88.144460,209.541509
2009,476.793481,82.562789,198.192789
2010,468.410120,79.822724,203.610199
2011,462.760066,82.700268,199.253243
2012,443.523482,79.882395,194.723209
2013,446.076024,76.541083,191.884646
2014,454.473783,78.116236,189.647233
2015,463.025961,80.898044,192.857886
2016,475.038996,81.440079,196.236350
2017,475.799044,82.599770,207.120346
2018,472.167038,83.462891,211.012000
2019,473.929329,83.653864,213.497886
2020,398.383436,76.889087,196.071394
2021,433.548143,87.427439,209.156659
2022,448.079863,89.813482,208.783320
2023,446.771578,89.846957,202.563303
2024,450.677433,91.548548,205.020395
