"Year","Public electricity and heat production","Pulp, paper and print","Manufacturing industries and construction: Other","Road transportation","Residential","All other Other sectors","All others"
1990,19.108882,39.712616,11.279318,0.002210,118.092055,8.688086,7.623415
1991,20.536722,41.894767,11.515115,0.003105,127.297943,9.136193,8.422341
1992,21.858375,42.335170,12.540680,0.021782,124.158820,9.068166,8.548930
1993,24.210864,44.008976,13.632459,0.106555,133.816038,12.830627,8.828472
1994,26.092489,46.184600,14.848092,0.458114,128.214597,12.706358,8.294350
1995,26.844427,47.912911,13.389856,0.733288,132.235963,12.637789,8.604216
1996,31.831516,46.925788,13.704945,0.996784,143.295140,12.527768,8.802702
1997,33.656824,51.497926,14.752586,1.180776,147.734528,12.690183,9.532992
1998,35.301029,52.165163,15.103552,1.284681,147.861853,12.521949,8.868482
1999,39.186771,54.797637,13.598351,1.459427,146.013715,13.082769,11.011709
2000,41.014765,55.864216,12.288190,2.445631,145.506251,13.326996,10.976770
2001,45.066461,56.495464,12.225553,2.856039,149.056501,13.527553,12.505913
2002,50.340548,59.186789,12.297388,3.568541,137.745289,14.034204,13.546764
2003,59.841857,57.860311,14.494078,4.856468,152.120424,14.591458,12.637737
2004,66.003762,61.937442,16.033554,5.690331,149.113687,16.325343,14.615210
2005,74.807784,61.610227,18.338882,9.347672,157.397919,16.551179,16.500823
2006,81.616746,65.442098,17.639077,15.408872,161.434972,18.017630,17.255650
2007,86.292823,68.158620,20.569525,20.929867,171.478504,19.609806,18.270471
2008,99.091193,65.200229,21.947210,26.169935,184.263198,21.296460,20.106480
2009,110.028568,60.000016,23.949394,30.616719,186.224464,23.166035,20.527747
2010,124.662860,68.401294,26.425611,34.269677,199.928124,26.098503,20.127285
2011,129.759049,66.248261,26.838769,35.955951,178.520126,24.863341,21.497666
2012,144.067561,67.296756,28.247980,38.893356,199.811990,26.819372,19.982083
2013,150.418164,68.510225,27.629868,34.145932,202.517968,29.038067,20.465786
2014,153.759836,69.532516,29.845165,36.624948,177.895192,27.789758,20.720325
2015,156.961200,69.571451,31.293957,36.831725,185.260687,29.505828,22.492442
2016,159.534123,70.859535,31.828284,36.696065,184.014840,30.795751,23.921261
2017,161.856444,72.619844,31.361191,40.133298,185.235581,32.021929,24.324387
2018,164.289189,73.109436,31.076519,44.642877,193.511861,32.583313,24.354930
2019,168.526747,75.212870,29.045058,45.940078,191.330819,33.518696,25.428797
2020,171.857661,73.913741,32.086271,46.778606,184.711132,33.560104,26.199240
2021,186.644201,73.213905,34.065425,49.964276,200.898689,36.885973,27.304449
2022,178.440357,72.012171,34.426927,49.281273,189.854527,35.350258,28.898011
2023,170.094997,71.739451,35.135216,52.311306,177.172025,35.551464,29.037970
2024,169.734886,73.376316,36.271174,48.706726,171.509012,35.656542,30.779485
