"Year","EU27","World"
1950,3.881001,2.372741
1951,4.312996,2.509281
1952,4.453584,2.496828
1953,4.502997,2.519009
1954,4.751229,2.522133
1955,5.100076,2.710743
1956,5.420311,2.829705
1957,5.549810,2.864250
1958,5.460341,2.886446
1959,5.498758,2.981084
1960,5.902046,3.109071
1961,6.131532,3.068418
1962,6.509258,3.117449
1963,6.890479,3.212604
1964,7.189677,3.313059
1965,7.219401,3.389338
1966,7.381393,3.482441
1967,7.489494,3.521091
1968,7.893996,3.638560
1969,8.364462,3.800910
1970,8.678513,4.031813
1971,8.867952,4.112250
1972,9.143084,4.219880
1973,9.526825,4.358162
1974,9.419083,4.257539
1975,9.180782,4.190445
1976,9.824562,4.342568
1977,9.679238,4.387958
1978,9.959484,4.445411
1979,10.188135,4.491730
1980,10.056067,4.385349
1981,9.490284,4.204303
1982,9.233244,4.095304
1983,9.100726,4.047822
1984,9.159898,4.114002
1985,9.274160,4.177916
1986,9.211994,4.164586
1987,9.262751,4.215461
1988,9.141990,4.303169
1989,9.202281,4.285587
1990,9.246808,4.275440
1991,9.062547,4.288762
1992,8.734694,4.101485
1993,8.546882,4.079975
1994,8.483642,4.061836
1995,8.578108,4.097368
1996,8.765924,4.164388
1997,8.598218,4.131378
1998,8.565519,4.059213
1999,8.426206,4.096031
2000,8.438622,4.148800
2001,8.555709,4.125716
2002,8.538371,4.162733
2003,8.695486,4.327484
2004,8.682902,4.421495
2005,8.634430,4.515645
2006,8.645381,4.611727
2007,8.496679,4.688505
2008,8.287770,4.708763
2009,7.589321,4.572416
2010,7.783861,4.774950
2011,7.547387,4.878259
2012,7.378732,4.887112
2013,7.185157,4.868795
2014,6.869910,4.830362
2015,6.990574,4.767311
2016,6.979746,4.713752
2017,7.024785,4.735624
2018,6.863767,4.780249
2019,6.527037,4.778430
2020,5.900400,4.479880
2021,6.293982,4.676995
2022,6.125599,4.676281
2023,5.592555,4.697341
2024,5.411651,4.709926
