"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-307.528129,-21.628696,-11.356461,-64.101480,16.185133
1991,-393.431349,-18.375030,-10.964229,-64.736520,16.842147
1992,-367.460276,-20.708751,-11.569618,-63.233938,16.400454
1993,-367.720476,-20.763065,-11.618286,-65.600246,15.337829
1994,-357.839833,-22.039472,-12.074749,-63.898834,14.783707
1995,-361.394105,-23.043887,-12.336541,-67.065375,15.244704
1996,-383.098703,-21.708417,-12.436572,-68.775807,16.010040
1997,-373.425283,-23.475934,-12.140474,-67.662165,15.315956
1998,-382.611572,-24.117443,-12.412216,-67.073128,15.611652
1999,-317.531183,-91.919216,-12.238588,-67.177639,15.909975
2000,-347.730204,-18.749830,-12.024604,-65.367613,16.081805
2001,-377.993602,-22.848230,-12.151846,-68.560173,16.885435
2002,-353.099674,-24.656824,-12.138702,-65.546273,16.878090
2003,-341.143791,-25.473975,-11.902694,-68.281071,17.285275
2004,-351.553864,-26.436565,-11.256941,-68.708008,16.776020
2005,-355.786493,-27.386140,-11.489264,-67.907577,17.252195
2006,-352.151401,-25.961562,-12.000892,-66.102970,18.752588
2007,-316.403789,-27.379442,-12.587222,-62.185882,18.740233
2008,-386.534711,-12.310126,-11.975008,-62.229315,18.884467
2009,-385.284104,-33.390473,-12.417369,-54.400486,19.870143
2010,-373.496731,-18.104741,-12.765689,-54.938542,19.088545
2011,-368.222535,-18.223781,-12.798785,-61.656001,19.500832
2012,-363.993055,-26.338301,-13.203290,-57.785128,20.059533
2013,-367.801274,-26.754375,-13.959279,-60.469085,20.044700
2014,-345.271202,-25.609418,-13.878402,-50.719274,20.483718
2015,-327.375669,-22.770658,-13.464874,-56.242766,20.664260
2016,-317.802340,-32.681332,-16.329918,-53.272520,21.136897
2017,-272.731525,-37.864394,-17.325846,-49.552515,21.345955
2018,-186.551851,-49.101887,-17.160124,-45.699535,21.465500
2019,-162.200898,-54.652233,-18.055199,-49.855984,22.405035
2020,-167.058567,-59.527637,-17.724428,-47.018860,23.897976
2021,-152.754965,-57.153610,-17.042842,-52.665430,24.235503
2022,-174.980421,-57.958868,-16.367078,-44.332672,25.707128
2023,-211.293116,-50.237781,-15.739356,-34.130208,27.661385
