"YYYYMM","Coal","Oil","Gas","Cement"
200801,104.606766,,103.294481,7.704542
200802,97.592236,,90.099822,7.830306
200803,94.872986,,89.079893,8.819623
200804,93.765293,,70.440997,9.145028
200805,87.397388,,53.434814,9.034478
200806,91.180289,,49.698799,8.715119
200807,94.028654,,50.300708,9.357844
200808,86.944718,,45.805022,7.087769
200809,93.954084,,56.476877,8.083302
200810,103.407916,,68.657506,8.143049
200811,100.337341,,79.479049,6.809774
200812,102.204894,,92.961647,5.332490
200901,96.012354,122.316876,100.146033,5.268128
200902,91.490702,112.823005,86.061303,5.246361
200903,86.148774,123.598856,77.409654,7.265670
200904,76.069917,113.743146,52.373729,6.877381
200905,70.698827,108.506411,45.521853,7.560141
200906,73.761953,111.935890,44.683145,7.278348
200907,79.488603,116.621693,48.197182,7.796803
200908,73.120146,107.514009,45.723995,5.797264
200909,82.097879,116.818298,50.651189,7.106083
200910,94.911984,121.449974,67.216089,7.375072
200911,95.019292,109.781176,77.217210,6.408435
200912,95.830673,119.796104,99.788081,4.558874
201001,93.520085,107.943166,113.308265,4.540495
201002,91.887533,108.542098,96.521036,4.958925
201003,91.130585,119.603761,86.680771,6.714511
201004,80.451228,108.497293,63.068408,7.079385
201005,79.140239,109.705730,57.563690,7.290770
201006,79.065089,110.884019,45.138217,7.647283
201007,84.019093,114.817237,45.332374,8.166950
201008,84.257502,112.366850,39.151390,5.888200
201009,86.375399,116.804542,51.215056,7.121875
201010,96.796058,117.293157,66.924205,7.280023
201011,100.535989,114.011777,81.662889,6.304454
201012,101.228463,120.025685,111.267868,3.959244
201101,91.858828,105.695638,109.956013,5.361227
201102,87.629088,106.369583,95.520294,5.667541
201103,93.691737,112.866410,86.343158,6.963901
201104,85.257414,104.659958,56.112787,7.329198
201105,86.630190,106.837009,51.157519,7.757140
201106,84.909898,105.182232,45.144259,7.007245
201107,87.650532,109.294996,43.053416,7.112522
201108,91.420533,113.951777,39.500812,5.328394
201109,87.274432,112.270126,44.588337,6.408676
201110,95.105332,115.087511,58.359195,6.970733
201111,97.357632,108.450497,77.380068,5.642577
201112,96.186454,108.770784,87.127041,4.145488
201201,97.565460,102.737790,96.304474,5.042748
201202,98.711665,107.878905,106.548700,4.961675
201203,95.280559,105.342093,71.293859,6.719791
201204,86.787452,100.620595,62.543992,6.400923
201205,82.071778,105.181199,46.281890,6.639261
201206,86.452025,106.011096,41.308179,7.020250
201207,84.856995,108.624166,41.460898,7.073393
