"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-3.035295,,,,
1991,-2.983706,,,,
1992,-2.930501,,,,
1993,-2.875582,,,,
1994,-2.818899,,,,
1995,-2.760349,,,,
1996,-2.699856,,,,
1997,-2.637312,,,,
1998,-2.638187,,,,
1999,-2.475546,,,,
2000,-4.312782,,,,
2001,-3.764391,,,,
2002,-3.551161,,,,
2003,-3.911038,,,,
2004,-4.460749,,,,
2005,-4.372756,,,,
2006,-4.199884,,,,
2007,-4.168192,,,,
2008,-4.117416,,,,
2009,-4.377409,,,,
2010,-4.103213,,,,
2011,-4.218479,,,,
2012,-4.109805,,,,
2013,-3.778223,,,,
2014,-3.874486,,,,
2015,-3.527288,,,,
2016,-4.186475,,,,
2017,-4.509711,,,,
2018,-4.408316,,,,
2019,-2.678185,,,,
2020,-3.252529,,,,
2021,-3.477978,,,,
2022,-2.698066,,,,
