"Year","Ghana","World"
1950,0.125483,2.378734
1951,0.167465,2.515504
1952,0.161182,2.502896
1953,0.183399,2.524970
1954,0.175224,2.527923
1955,0.200702,2.716614
1956,0.176315,2.835461
1957,0.204894,2.869636
1958,0.209045,2.891376
1959,0.196377,2.985590
1960,0.210012,3.112931
1961,0.187736,3.071906
1962,0.195250,3.120741
1963,0.229161,3.215595
1964,0.214248,3.315825
1965,0.216142,3.391959
1966,0.178333,3.484865
1967,0.180721,3.523155
1968,0.194532,3.640223
1969,0.171226,3.802135
1970,0.269285,4.032588
1971,0.221207,4.112597
1972,0.234867,4.219747
1973,0.232333,4.355556
1974,0.267458,4.253289
1975,0.234199,4.173319
1976,0.198850,4.310191
1977,0.247101,4.352449
1978,0.241667,4.432504
1979,0.217365,4.465701
1980,0.201877,4.364099
1981,0.231783,4.168842
1982,0.228931,4.060496
1983,0.269379,4.023942
1984,0.184413,4.068703
1985,0.230119,4.137420
1986,0.210155,4.122175
1987,0.220264,4.179654
1988,0.219291,4.262697
1989,0.203870,4.241189
1990,0.228247,4.266701
1991,0.247149,4.282473
1992,0.200350,4.090168
1993,0.230139,4.068620
1994,0.267148,4.047994
1995,0.265760,4.083544
1996,0.272791,4.148108
1997,0.302337,4.114970
1998,0.298797,4.044522
1999,0.293122,4.079117
2000,0.270549,4.133621
2001,0.295961,4.107635
2002,0.312757,4.144280
2003,0.313878,4.307030
2004,0.294976,4.399256
2005,0.272304,4.493561
2006,0.369919,4.585831
2007,0.379907,4.661509
2008,0.343272,4.682571
2009,0.276224,4.545518
2010,0.351031,4.744937
2011,0.395805,4.848876
2012,0.472823,4.854014
2013,0.460451,4.837742
2014,0.472747,4.804597
2015,0.507670,4.739116
2016,0.473951,4.682487
2017,0.414460,4.705259
2018,0.495785,4.752195
2019,0.525136,4.747814
2020,0.600984,4.457744
2021,0.632131,4.634748
2022,0.625814,4.678452
2023,0.595942,4.707772
2024,0.610614,4.729075
