"YYYYMM","Natural gas","Oil","Others"
202404,5224.901191,803.196000,
202405,5677.286564,948.492000,
202406,5281.181121,1022.616000,
202407,5127.244626,845.568000,
202408,4927.041030,774.468000,
202409,2609.809235,270.180000,
202410,4225.480509,718.200000,
202411,3399.965168,618.228000,
202412,4313.355177,728.928000,
202501,4321.371813,728.784000,
202502,3738.178742,634.464000,
202503,4359.324336,705.564000,
202504,3848.169507,567.504000,
202505,3643.919139,510.516000,
202506,3197.618637,440.964000,
202507,3335.944212,483.804000,
