"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-2.018502,0.530370,-0.438606,0.159715,0.169260,0.080437,-1.149129,0
1991,-5.735449,0.222818,-0.974571,0.147274,0.186061,0.073186,-0.755344,0
1992,-4.680801,0.683272,-0.591578,0.150032,0.199930,0.074825,-0.539730,0
1993,-5.777311,0.524600,-0.077173,0.156404,0.206998,0.076211,-0.442668,0
1994,-3.594569,1.540959,-0.014197,0.164329,0.211278,0.095026,-0.328504,0
1995,-4.924981,0.494056,0.201151,0.168250,0.232439,0.095075,-0.436310,0
1996,-6.944750,-0.176589,-0.568675,0.169922,0.214850,0.081649,-0.253021,0
1997,-4.593326,0.483201,-0.318884,0.170128,0.207262,0.095393,-0.224710,0
1998,-3.777545,-0.255117,0.194471,0.177987,0.221420,0.098859,-0.262351,0
1999,-2.758967,1.217926,0.021786,0.175466,0.223974,0.087943,-0.354695,0
2000,3.725531,-0.002450,0.397358,0.176646,0.248804,0.086747,-0.705168,0
2001,-1.868076,1.292261,0.339195,0.171643,0.216031,0.096652,-0.399278,0
2002,-3.363600,0.191805,0.241782,0.171761,0.234938,0.107149,-0.271010,0
2003,-2.865602,0.420133,0.267424,0.177528,0.208720,0.098967,-0.342596,0
2004,-3.874096,-1.043970,0.125333,0.173722,0.217587,0.083531,-0.506279,0
2005,-3.500825,0.877609,0.342864,0.173447,0.234164,0.095359,-0.619675,0
2006,-0.952302,0.302190,-0.018107,0.175219,0.209450,0.099466,-0.381615,0
2007,-1.680468,-0.164359,0.465043,0.168473,0.218347,0.104111,-0.672120,0
2008,-2.820111,0.349491,0.423166,0.185675,0.191888,0.099317,-0.292766,0
2009,-2.911624,0.119365,0.361283,0.180365,0.182941,0.093697,-0.290500,0
2010,-3.892948,0.888564,0.668898,0.178706,0.194267,0.098896,-0.347302,0
2011,-2.387316,-1.130823,-0.016527,0.168733,0.180154,0.086557,-0.258894,0
2012,-2.668710,1.089120,0.744909,0.186931,0.192723,0.098568,-0.069720,0
2013,-3.565373,1.503202,1.233324,0.183062,0.185360,0.101107,0.126418,0
2014,-2.545477,-1.420765,-0.403646,0.168913,0.166412,0.097332,-0.059402,0
2015,-3.213119,2.008038,1.990286,0.166775,0.161907,0.096212,-0.036508,0
2016,-3.630558,0.707775,-0.718062,0.180280,0.153329,0.101178,0.001464,0
2017,-3.158833,-0.450958,1.357558,0.171143,0.173108,0.104609,-0.018324,0
2018,-1.493461,1.011066,1.248464,0.165469,0.161899,0.106681,-0.080255,0
2019,-2.773014,-0.852650,0.005895,0.171746,0.152471,0.099259,0.051279,0
2020,-2.739166,0.150136,0.995023,0.166473,0.130835,0.095873,-0.021954,0
2021,-2.983390,1.863582,0.479625,0.162390,0.140695,0.091378,-0.145268,0
2022,-1.902090,-0.206630,0.327064,0.176281,0.120754,0.100828,-0.045687,0
2023,-0.384522,0.515019,0.756462,0.161515,0.112999,0.095748,0.041976,0
