"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,11.029686,0.826147,1.856338
1991,11.494066,0.849270,1.867957
1992,11.870626,0.857530,1.780462
1993,11.013954,0.795241,1.668683
1994,11.033332,0.827322,1.819364
1995,10.735779,0.819727,1.836012
1996,11.001425,0.803206,1.654839
1997,11.484109,0.819324,1.716709
1998,11.640640,0.822233,1.781339
1999,12.100565,0.850483,1.889059
2000,12.232456,0.864551,2.002231
2001,12.009616,0.864058,1.961467
2002,11.918760,0.867233,1.961981
2003,12.052489,0.872235,1.997653
2004,12.083156,0.887618,2.076842
2005,12.025524,0.924562,2.201922
2006,11.984983,0.949821,2.310200
2007,12.203671,0.982374,2.377902
2008,12.426365,1.017432,2.486793
2009,12.422572,0.985895,2.344284
2010,12.327411,0.978929,2.347447
2011,12.149396,0.989355,2.325026
2012,12.221725,1.032315,2.321544
2013,12.141488,1.051107,2.327398
2014,12.024758,1.069671,2.282121
2015,11.463661,1.042370,2.148221
2016,11.367967,1.046790,2.103604
2017,11.182926,1.029365,2.062711
2018,11.161074,1.052534,2.063422
2019,11.128763,1.064978,2.032362
2020,9.855068,1.108569,2.034143
2021,10.083722,1.097397,2.033476
2022,10.054142,1.071085,1.920018
2023,10.140367,1.075489,1.853080
