"Year","Switzerland","World"
1950,2.180617,2.372741
1951,2.590175,2.509281
1952,2.332805,2.496828
1953,2.119364,2.519009
1954,2.549766,2.522133
1955,2.721527,2.710743
1956,3.367767,2.829705
1957,3.448798,2.864250
1958,3.133588,2.886446
1959,3.154269,2.981084
1960,3.659446,3.109071
1961,3.746487,3.068418
1962,4.327669,3.117449
1963,5.104831,3.212604
1964,4.858483,3.313059
1965,5.178196,3.389338
1966,5.320407,3.482441
1967,5.426840,3.521091
1968,5.929485,3.638560
1969,6.199806,3.800910
1970,6.510733,4.031813
1971,6.740980,4.112250
1972,6.853784,4.219880
1973,7.324397,4.358162
1974,6.532014,4.257539
1975,6.160334,4.190445
1976,6.415530,4.342568
1977,6.532665,4.387958
1978,6.711999,4.445411
1979,6.331970,4.491730
1980,6.405671,4.385349
1981,6.106427,4.204303
1982,5.722359,4.095304
1983,6.233196,4.047822
1984,6.071859,4.114002
1985,6.145793,4.177916
1986,6.492785,4.164586
1987,6.139896,4.215461
1988,6.163855,4.303169
1989,5.926490,4.285587
1990,6.577862,4.275440
1991,6.788669,4.288762
1992,6.695232,4.101485
1993,6.287410,4.079975
1994,6.103031,4.061836
1995,6.168241,4.097368
1996,6.239032,4.164388
1997,6.073910,4.131378
1998,6.277680,4.059213
1999,6.222949,4.096031
2000,6.073570,4.148800
2001,6.240868,4.125716
2002,5.973604,4.162733
2003,6.090751,4.327484
2004,6.128150,4.421495
2005,6.162367,4.515645
2006,6.068833,4.611727
2007,5.748962,4.688505
2008,5.851905,4.708763
2009,5.627238,4.572416
2010,5.757044,4.774950
2011,5.179212,4.878259
2012,5.282880,4.887112
2013,5.337471,4.868795
2014,4.790188,4.830362
2015,4.675226,4.767311
2016,4.678438,4.713752
2017,4.515643,4.735624
2018,4.329007,4.780249
2019,4.282015,4.778430
2020,3.962237,4.479880
2021,4.116691,4.676995
2022,3.754819,4.676281
2023,3.721556,4.697341
