"Year","Coal","Natural gas","Hydro","Wind","Solar"
2016,2.529014,0.618374,-2.875018,0.334262,1.351863
2017,-0.658027,1.549363,0.360843,1.069622,1.252833
2018,0.565982,-0.255318,2.010298,0.066976,1.279114
2019,-1.692188,2.678339,-0.871806,1.307071,1.178719
2020,-1.987200,-0.551875,-0.591986,0.704503,1.524356
2021,-0.003767,0.587945,-2.475271,2.022953,2.547107
2022,-4.379320,0.179066,1.309712,1.263434,5.056727
2023,-5.303997,-0.327753,3.770725,0.909538,2.513847
2024,-1.211586,-3.168491,2.610853,1.095802,2.010093
