"YYYYMM","gas","CO2"
201001,0,
201002,0,
201003,0,
201004,0,
201005,0,
201006,0,
201007,0,
201008,0,
201009,0,
201010,,40.050315
201011,,33.161650
201012,,34.431171
201101,,34.755450
201102,,33.439402
201103,,37.094599
201104,,43.840511
201105,,44.360624
201106,,43.569984
201107,,46.088821
201108,,46.418021
201109,,34.728591
201110,,46.436823
201111,,43.893097
201112,,44.935487
201201,,43.296903
201202,,40.650140
201203,,38.543830
201204,,44.460243
201205,,44.110928
201206,,36.790162
201207,,39.386821
201208,,22.669784
201209,,25.442343
201210,,40.124618
201211,,38.150408
201212,,38.950546
201301,,33.077736
201302,,34.628074
201303,,38.066796
201304,,36.038096
201305,,34.388559
201306,,32.667041
201307,,33.841728
201308,,28.367978
201309,,27.517724
201310,,31.948984
201311,,23.501236
201312,,23.470325
201401,,23.498367
201402,,27.701245
201403,,31.887552
201404,0,33.359357
201405,0.256190,29.917692
201406,0,26.726221
201407,0,35.228461
201408,0,16.283191
201409,0.358436,27.940277
201410,0,34.789848
201411,0,32.472839
201412,0,34.284413
201501,0,32.905731
201502,0,22.971873
201503,0,30.725318
201504,0,34.777095
201505,0,34.714802
201506,0,35.511165
201507,0,35.562263
201508,0,28.804896
201509,0,30.891048
201510,0,31.936964
201511,0,30.980053
201512,0,30.439882
201601,0,29.764964
201602,0,27.011793
201603,0,28.682805
201604,0,27.969194
201605,0,31.381506
201606,0,23.881547
201607,0,33.755045
201608,0,27.298928
201609,0,15.832278
201610,0,33.152448
201611,0,29.298610
201612,0,31.816829
201701,,25.976660
201702,,23.953196
201703,,19.012703
201704,,24.795511
201705,,28.186660
201706,,26.956211
201707,,27.833868
201708,,18.765177
201709,,25.864989
201710,,28.097913
201711,,24.627082
201712,,25.434604
201801,,23.741579
201802,,23.005301
201803,,24.381403
201804,,26.579944
201805,,28.567693
201806,,27.047745
201807,,28.457061
201808,,25.222558
201809,,0
201810,,25.008753
201811,,24.780236
201812,,16.551635
201901,,21.708182
201902,,18.278841
201903,,16.052183
201904,,18.950242
201905,,19.377488
201906,,17.898886
201907,,18.468924
201908,,18.674008
201909,,20.131970
201910,,30.641615
201911,,28.966328
201912,,29.620549
202001,,28.420835
202002,,29.506381
202003,,28.521941
202004,,29.805867
202005,,29.417557
202006,,21.889670
202007,,19.157461
202008,,24.028972
202009,,13.332164
202010,,15.810717
202011,,15.948199
202012,,15.749560
202101,,13.023920
202102,,13.684190
202103,,9.664777
202104,,15.133578
202105,,14.742719
202106,,14.565802
202107,,14.880171
202108,,11.670534
202109,,1.164686
202110,,10.130254
202111,,9.963921
202112,,11.034181
202201,,11.890182
202202,,10.405053
202203,,7.956652
202204,,5.238550
202205,,7.597753
202206,,6.698410
202207,,1.173523
202208,,0
202209,,2.883283
202210,,0
202211,,7.749599
202212,,0
202301,,0
202302,,0
202303,,0
202304,,6.511985
202305,,12.804332
202306,,12.025259
202307,,11.687146
202308,,5.184582
202309,,4.794978
202310,,3.727055
202311,,0
202312,,0
202401,,0
202402,,0.410009
202403,,0
202404,,3.487789
202405,,10.752777
202406,,7.006086
202407,,2.169846
202408,,3.644798
202409,,0
202410,,0
202411,,0
202412,,0
202501,,0
202502,,0
202503,,0
202504,,0
