"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2020,0,0,0.550000,0,0,0.260000,0,-0.640000
2021,0,0,-0.270000,0,0,0.070000,0,0.040000
2022,0,0,0.470000,0,0,0.560000,0,-0.380000
2023,0,0,-0.640000,0,0,0.080000,0,0.170000
2024,0,-0.360000,0.640000,0,0,0.050000,0,-0.110000
