"Year","Azerbaijan","World"
1950,2.834122,2.372741
1951,3.005739,2.509281
1952,3.148795,2.496828
1953,3.254597,2.519009
1954,3.465828,2.522133
1955,3.828414,2.710743
1956,4.087131,2.829705
1957,4.346397,2.864250
1958,4.503127,2.886446
1959,4.587870,2.981084
1960,4.625731,3.109071
1961,4.620391,3.068418
1962,4.697945,3.117449
1963,4.883240,3.212604
1964,5.039087,3.313059
1965,5.194690,3.389338
1966,5.342231,3.482441
1967,5.454857,3.521091
1968,5.487071,3.638560
1969,5.597682,3.800910
1970,5.769780,4.031813
1971,6.011516,4.112250
1972,6.214155,4.219880
1973,6.368204,4.358162
1974,6.503078,4.257539
1975,6.725175,4.190445
1976,6.872832,4.342568
1977,6.997807,4.387958
1978,7.131685,4.445411
1979,7.090211,4.491730
1980,7.269068,4.385349
1981,7.036614,4.204303
1982,7.066142,4.095304
1983,7.059042,4.047822
1984,7.009388,4.114002
1985,7.432223,4.177916
1986,7.609894,4.164586
1987,7.088368,4.215461
1988,7.101908,4.303169
1989,7.015998,4.285587
1990,6.908921,4.275440
1991,6.639048,4.288762
1992,7.349459,4.101485
1993,6.253931,4.079975
1994,5.362503,4.061836
1995,4.222076,4.097368
1996,3.930295,4.164388
1997,3.730334,4.131378
1998,3.952804,4.059213
1999,3.557585,4.096031
2000,3.634199,4.148800
2001,3.430981,4.125716
2002,3.412554,4.162733
2003,3.602744,4.327484
2004,3.769568,4.421495
2005,3.950165,4.515645
2006,3.939340,4.611727
2007,3.383126,4.688505
2008,3.670848,4.708763
2009,3.191202,4.572416
2010,2.982402,4.774950
2011,3.227884,4.878259
2012,3.455071,4.887112
2013,3.490072,4.868795
2014,3.525852,4.830362
2015,3.516300,4.767311
2016,3.481001,4.713752
2017,3.445208,4.735624
2018,3.404917,4.780249
2019,3.688705,4.778430
2020,3.522929,4.479880
2021,3.713081,4.676995
2022,3.899516,4.676281
2023,4.219576,4.697341
