"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,0,-0.090000,-0.490000,0,0,0,0
2021,0,1.230000,0.240000,0,0,0,0
2022,0,1.360000,0.310000,0,0,0,0
2023,0,0.070000,0.170000,0,0,0,0
2024,0,-2.510000,1.220000,0,0,0,0
2025,0,-0.150000,0.300000,0,0,0,0
