"Year","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","All others"
1990,0,0,0
2020,0.076507,0.032010,0.001176
2021,0.073909,0.027541,0.000235
2022,0.052259,0.021179,0.000235
