"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,0.008534,0.008815,0.012895
2012,0.009067,0.009118,0.013469
2013,0.009832,0.009621,0.013934
2014,0.011193,0.010421,0.014783
2015,0.013286,0.011749,0.016711
2016,0.014606,0.013071,0.018446
2017,0.015727,0.014295,0.021524
2018,0.017112,0.015484,0.023479
2019,0.019233,0.016676,0.024270
2020,0.012886,0.011173,0.016261
2021,0.023474,0.019075,0.025852
2022,0.025594,0.020272,0.026643
