"Year","Change in living biomass","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1994,,,,,
2000,-39.004871,,,,
2005,-38.963975,,,,
2010,-38.891086,,,,
2011,-38.891086,,,,
2012,-38.882958,,,,
2013,-38.874829,,,,
2014,-38.873755,,,,
2015,-38.873755,,,,
2016,-38.857536,,,,
2017,-38.849408,,,,
2018,-38.831828,,,,
2019,-38.822328,,,,
2020,-38.812631,,,,
2021,-38.802933,,,,
2022,-38.793236,,,,
