"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1994,,,,,
2000,-36.614856,,,,
2005,-34.207133,,,,
2010,-30.953301,,,,
2011,-29.158895,,,,
2012,-29.366692,,,,
2013,-28.643209,,,,
2014,-27.633237,,,,
2015,-26.330929,,,,
2016,-26.622782,,,,
2017,-23.678440,,,,
2018,-26.248581,,,,
2019,-25.897714,,,,
2020,-28.041693,,,,
2021,-29.581759,,,,
2022,-31.734668,,,,
