"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,1.181086,,
1991,0.756730,,
1992,0.716238,,
1993,0.618696,,
1994,0.588651,,
1995,0.642442,,
1996,0.654606,,
1997,0.608556,,
1998,0.716006,,
1999,0.660978,,
2000,0.792988,,
2001,0.765474,,
2002,0.833130,,
2003,0.885437,,
2004,0.928649,,
2005,0.882715,,
2006,0.975164,,
2007,1.199622,,
2008,1.276605,,
2009,1.132315,,
2010,1.019191,,
2011,1.173504,,
2012,1.395009,,
2013,1.376938,,
2014,1.477666,,
2015,1.532810,,
2016,1.354052,,
2017,1.484620,,
2018,1.570813,,
2019,1.955957,,
2020,2.093758,,
2021,2.044405,,
2022,2.397454,,
