"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2015,0.150000,"NaN","NaN","NaN","NaN","NaN","NaN"
2016,0.170000,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,0.240000,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,0.460000,"NaN","NaN","NaN",0.210000,"NaN","NaN"
2019,0.460000,"NaN","NaN","NaN",0.230000,"NaN","NaN"
2020,0.140000,"NaN","NaN","NaN",-0.020000,"NaN","NaN"
2021,0.760000,"NaN","NaN","NaN",0.170000,"NaN","NaN"
2022,0.210000,"NaN","NaN","NaN",-0.060000,"NaN","NaN"
2023,0.290000,"NaN","NaN","NaN",0.010000,"NaN","NaN"
2024,0.420000,"NaN","NaN","NaN",0.050000,"NaN","NaN"
