"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-31.996603,0,0.830315,0,0,0,-0.085840,0
1991,-31.998633,0,0,0,0,0,0.020623,0
1992,-31.998594,0,0,0,0,0,0.025713,0
1993,-31.998767,0,0,0,0,0,0.024378,0
1994,-31.998767,0,0,0,0,0,0.038762,0
1995,-31.998767,0,0,0,0,0,0.098885,0
1996,-32.038130,0,0,0,0,0,0.089820,0
1997,-32.001088,0,0,0,0,0,0.174508,0
1998,-32.001088,0,0,0,0,0,0.056309,0
1999,-32.001088,0,0,0,0,0,0.169236,0
2000,-31.909126,0,0,0,0,0,0.140387,0
2001,-31.905694,0,0,0,0,0,0.144152,0
2002,-31.933948,0,0,0,0,0,0.170326,0
2003,-31.904064,0,0,0,0,0,0.163199,0
2004,-31.904064,0,0,0,0,0,0.156234,0
2005,-31.904064,0,0,0,0,0,0.149346,0
2006,-31.904064,0,0,0,0,0,0.142698,0
2007,-31.904064,0,0,0,0,0,0.136118,0
2008,-31.904064,0,0,0,0,0,0.129772,0
2009,-31.904064,0,0,0,0,0,0.123488,0
2010,-31.924240,0,0,0,0,0,0.114027,0
2011,-31.923415,0,0,0,0,0,0.083865,0
2012,-31.923415,0,0,0,0,0,0.023930,0
2013,-31.923415,0,0,0,0,0,0.048451,0
2014,-31.923415,0,0,0,0,0,0.016052,0
2015,-31.923415,0,0,0,0,0,0.071381,0
2016,-31.891551,0,0,0,0,0,0.068754,0
2017,-31.921535,0,0,0,0,0,0.052990,0
2018,-31.921535,0,0,0,0,0,0.042816,0
2019,-31.921535,0,0,0,0,0,0.077280,0
2020,-31.995978,0,0,0,0,0,0.080164,0
2021,-31.998755,0,0,0,0,0,0.075290,0
2022,-31.975885,0,0,0,0,0,0.070452,0
