"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-31.993494,0,0,0.020161,
1991,-31.994698,,,0.019337,
1992,-31.994659,,,0.019337,
1993,-31.994832,,,0.019337,
1994,-31.994832,,,0.019337,
1995,-31.994832,,,0.019337,
1996,-32.002326,,,-0.012503,
1997,-31.995274,,,0.017459,
1998,-31.995274,,,0.017459,
1999,-31.995274,,,0.017459,
2000,-31.977766,,,0.091847,
2001,-31.977113,,,0.094623,
2002,-31.982492,,,0.071769,
2003,-31.976803,,,0.095942,
2004,-31.976803,,,0.095942,
2005,-31.976803,,,0.095942,
2006,-31.976803,,,0.095942,
2007,-31.976803,,,0.095942,
2008,-31.976803,,,0.095942,
2009,-31.976803,,,0.095942,
2010,-31.976803,,,0.075781,
2011,-31.976803,,,0.076605,
2012,-31.976803,,,0.076605,
2013,-31.976803,,,0.076605,
2014,-31.976803,,,0.076605,
2015,-31.976803,,,0.076605,
2016,-31.976803,,,0.108445,
2017,-31.976803,,,0.078483,
2018,-31.976803,,,0.078483,
2019,-31.976803,,,0.078483,
2020,-31.976803,,,0.004095,
2021,-31.976803,,,0.001319,
2022,-31.976803,0,0,0.024173,
