"YYYYMM","Coal","Oil","Gas","Cement"
200801,104.593325,,103.287404,8.391347
200802,97.579696,,90.093649,8.320146
200803,94.860796,,89.073790,9.212735
200804,93.753245,,70.436171,9.290382
200805,87.386157,,53.431153,8.777232
200806,91.168573,,49.695395,8.203016
200807,94.016572,,50.297262,9.175684
200808,86.933546,,45.801884,7.862608
200809,93.942012,,56.473008,7.933690
200810,103.394629,,68.652803,7.413432
200811,100.324449,,79.473604,6.172677
200812,102.191761,,92.955278,5.310377
200901,96.002147,122.268143,100.141769,5.452119
200902,91.480976,112.778054,86.057639,5.509541
200903,86.139616,123.549613,77.406358,7.122576
200904,76.061830,113.697829,52.371499,6.999558
200905,70.691311,108.463180,45.519915,7.113308
200906,73.754111,111.891294,44.681243,7.114396
200907,79.480153,116.575229,48.195130,7.256064
200908,73.112372,107.471174,45.722048,6.019288
200909,82.089151,116.771756,50.649032,7.259117
200910,94.901894,121.401586,67.213227,7.377273
200911,95.009190,109.737438,77.213922,6.403811
200912,95.820486,119.748375,99.783832,4.911510
201001,93.509324,107.896083,113.300319,4.768413
201002,91.876960,108.494754,96.514268,5.122576
201003,91.120099,119.551591,86.674692,6.867602
201004,80.441971,108.449968,63.063986,7.061790
201005,79.131133,109.657878,57.559653,7.242447
201006,79.055991,110.835653,45.135052,7.440028
201007,84.009425,114.767155,45.329195,7.618728
201008,84.247806,112.317837,39.148644,6.388443
201009,86.365460,116.753594,51.211464,6.983764
201010,96.784920,117.241995,66.919512,7.059800
201011,100.524421,113.962046,81.657163,6.395130
201012,101.216815,119.973331,111.260066,4.003394
201101,91.846105,105.641266,109.948638,5.740103
201102,87.616951,106.314864,95.513887,5.753204
201103,93.678760,112.808349,86.337367,7.249069
201104,85.245605,104.606119,56.109023,7.561745
201105,86.618192,106.782050,51.154088,7.412953
201106,84.898138,105.128124,45.141231,7.006455
201107,87.638392,109.238773,43.050528,6.777896
201108,91.407871,113.893158,39.498163,5.781852
201109,87.262344,112.212372,44.585347,6.228452
201110,95.092159,115.028307,58.355281,6.811537
201111,97.344148,108.394708,77.374878,5.433096
201112,96.173132,108.714830,87.121197,3.938277
201201,97.538832,102.637524,96.271767,5.767293
201202,98.684724,107.773622,106.512514,5.367923
201203,95.254555,105.239285,71.269646,6.416927
