"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,5.420024,4.647695,0.776461,0.146204,0.002731,-0.153067
1991,5.909762,5.135924,0.791440,0.146011,0.003370,-0.166983
1992,6.340247,5.508757,0.816441,0.160645,0.027052,-0.172649
1993,6.623822,5.752345,0.847486,0.169530,0.029266,-0.174805
1994,6.869310,5.993938,0.862075,0.165090,0.031557,-0.183350
1995,6.785810,5.865304,0.887787,0.178347,0.034407,-0.180034
1996,7.151543,6.214945,0.909854,0.171960,0.040141,-0.185358
1997,7.244428,6.301357,0.915454,0.166014,0.045818,-0.184216
1998,7.552263,6.593571,0.919602,0.174984,0.054597,-0.190491
1999,7.819149,6.863296,0.919696,0.172546,0.061987,-0.198377
2000,8.147507,7.099963,0.942731,0.176667,0.070651,-0.142505
2001,8.058281,6.977092,0.977329,0.192720,0.079735,-0.168595
2002,8.259242,7.171457,1.003701,0.196278,0.089742,-0.201935
2003,8.635186,7.559926,0.994858,0.192715,0.101706,-0.214018
2004,8.859989,7.785834,0.985375,0.184303,0.119026,-0.214549
2005,8.994570,7.950638,0.960288,0.170202,0.134269,-0.220828
2006,9.243789,8.181660,0.962788,0.173205,0.148623,-0.222488
2007,9.591545,8.469347,0.967740,0.172352,0.164995,-0.182888
2008,9.751613,8.690406,0.963810,0.163239,0.183997,-0.249839
2009,9.478539,8.436606,0.964867,0.160595,0.194125,-0.277654
2010,9.159842,8.069586,0.974523,0.170046,0.210725,-0.265038
2011,8.860679,7.790278,0.973222,0.167550,0.230409,-0.300780
2012,8.329535,7.259443,0.963352,0.164634,0.235730,-0.293623
2013,7.616384,6.576625,0.947843,0.149300,0.239901,-0.297286
2014,7.972196,6.928198,0.948431,0.146763,0.247912,-0.299109
2015,8.023493,6.951150,0.955603,0.152099,0.260748,-0.296107
2016,8.571276,7.336647,0.986848,0.158292,0.280382,-0.190893
2017,8.620365,7.467716,0.997782,0.160137,0.301762,-0.307031
2018,8.516283,7.322270,1.012185,0.162307,0.321833,-0.302311
2019,8.120370,7.322767,0.581202,0.167998,0.345445,-0.297041
2020,7.762555,6.901347,0.631890,0.172471,0.355391,-0.298544
2021,7.941689,6.941385,0.676815,0.176625,0.382191,-0.235326
2022,8.037372,7.069436,0.682018,0.172546,0.412761,-0.299390
2023,8.186271,7.186796,0.704487,0.172761,0.432804,-0.310577
