"Year","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
1990,-0.141501,-0.141579,-0.613537,-0.613537,-0.100393,-0.274234,-0.251266,-0.219042,-0.219042,-0.305039,-0.153129,-0.153129
1991,-0.157222,-0.157306,-0.619811,-0.619811,-0.119357,-0.262054,-0.247694,-0.212255,-0.212255,-0.298444,-0.167159,-0.167159
1992,-0.160324,-0.160414,-0.630560,-0.630560,-0.126456,-0.264890,-0.255142,-0.218446,-0.218446,-0.298689,-0.172733,-0.172733
1993,-0.106222,-0.106325,-0.617409,-0.617409,-0.110973,-0.295180,-0.272108,-0.234118,-0.234118,-0.308264,-0.175239,-0.175239
1994,-0.122138,-0.122247,-0.614391,-0.614391,-0.115094,-0.274537,-0.257448,-0.224232,-0.224232,-0.292372,-0.184407,-0.184407
1995,-0.151371,-0.151483,-0.617034,-0.617034,-0.126621,-0.292804,-0.277562,-0.239329,-0.239329,-0.301482,-0.180494,-0.180494
1996,-0.154135,-0.154253,-0.615176,-0.615176,-0.127338,-0.302799,-0.285486,-0.245366,-0.245366,-0.301473,-0.186090,-0.186090
1997,-0.152106,-0.152231,-0.615954,-0.615954,-0.131902,-0.261399,-0.256117,-0.226928,-0.226928,-0.277056,-0.185243,-0.185243
1998,-0.008123,-0.008296,-0.595406,-0.595406,-0.114055,-0.196120,-0.184883,-0.186196,-0.186196,-0.230324,-0.193768,-0.193768
1999,-0.171178,-0.171250,-0.626973,-0.626973,-0.147696,-0.372109,-0.358745,-0.292431,-0.281480,-0.318727,-0.198513,-0.198513
2000,-0.154593,-0.154671,-0.568477,-0.568477,-0.083129,0.065302,0.059258,-0.044748,-0.044748,-0.076922,-0.149443,-0.149443
2001,-0.131473,-0.131585,-0.622495,-0.622495,-0.138039,-0.172988,-0.189715,-0.190033,-0.190033,-0.211627,-0.171161,-0.171161
2002,-0.174614,-0.100969,-0.647690,-0.647690,-0.167929,-0.317016,-0.337550,-0.276764,-0.276764,-0.290281,-0.202415,-0.202415
2003,-0.165392,-0.125759,-0.647176,-0.647176,-0.171768,-0.328670,-0.352397,-0.285407,-0.285407,-0.290760,-0.214866,-0.214866
2004,-0.173224,-0.138361,-0.643918,-0.643918,-0.172362,-0.323008,-0.348079,-0.284448,-0.284448,-0.281498,-0.215818,-0.215818
2005,-0.174975,-0.083038,-0.647687,-0.647687,-0.179478,-0.350741,-0.377282,-0.303545,-0.303545,-0.292245,-0.221861,-0.221861
2006,-0.168517,-0.137331,-0.644824,-0.644824,-0.180206,-0.426412,-0.452911,-0.382414,-0.382414,-0.284694,-0.223959,-0.223959
2007,-0.117908,0.016966,-0.593422,-0.593422,-0.117481,-0.194954,-0.214819,-0.246430,-0.246003,-0.147311,-0.188608,-0.188608
2008,-0.173808,-0.053177,-0.637070,-0.637070,-0.160730,-0.490718,-0.512282,-0.417985,-0.417985,-0.318064,-0.251069,-0.251069
2009,-0.175165,-0.139178,-0.646787,-0.646787,-0.178055,-0.512888,-0.541976,-0.429413,-0.429413,-0.328033,-0.279036,-0.279036
2010,-0.167816,-0.077012,-0.641304,-0.641304,-0.167265,-0.459440,-0.490045,-0.399634,-0.399634,-0.296838,-0.267274,-0.267274
2011,-0.092855,-0.092406,-0.644330,-0.644330,-0.169874,-0.532120,-0.566266,-0.435940,-0.435940,-0.337859,-0.302865,-0.302865
2012,,-0.044484,-0.644951,-0.644951,-0.164014,-0.513861,-0.546115,-0.422794,-0.422794,-0.329716,-0.295848,-0.295848
2013,,,-0.652439,-0.652439,-0.172541,-0.548759,-0.580234,-0.440275,-0.440275,-0.353627,-0.298832,-0.298832
2014,,,,-0.651877,-0.173628,-0.547906,-0.577570,-0.436219,-0.436219,-0.355477,-0.300700,-0.300700
2015,,,,,-0.168252,-0.543853,-0.572675,-0.432086,-0.432086,-0.357581,-0.297434,-0.297434
2016,,,,,,0.089784,0.059544,-0.065995,-0.065995,0.000586,-0.204172,-0.204172
2017,,,,,,,-0.534520,-0.419730,-0.419730,-0.361016,-0.308597,-0.308597
2018,,,,,,,,-0.400225,-0.400553,-0.349659,-0.304245,-0.304245
2019,,,,,,,,,-0.384886,-0.349534,-0.298757,-0.298757
2020,,,,,,,,,,-0.349675,-0.300370,-0.300370
2021,,,,,,,,,,,-0.244723,-0.244723
2022,,,,,,,,,,,,-0.300732
