"Year","Cyprus","World"
1950,0.541583,2.378734
1951,0.563074,2.515504
1952,0.619442,2.502896
1953,0.709074,2.524970
1954,0.844286,2.527923
1955,0.844168,2.716614
1956,1.241141,2.835461
1957,1.477497,2.869636
1958,1.358907,2.891376
1959,1.447025,2.985590
1960,1.511247,3.112931
1961,1.451381,3.071906
1962,1.504028,3.120741
1963,1.622440,3.215595
1964,1.632556,3.315825
1965,1.861814,3.391959
1966,1.991867,3.484865
1967,2.164899,3.523155
1968,2.554016,3.640223
1969,2.604230,3.802135
1970,2.629857,4.032588
1971,2.879800,4.112597
1972,3.639498,4.219747
1973,3.759412,4.355556
1974,2.908034,4.253289
1975,3.019125,4.173319
1976,3.757650,4.310191
1977,4.047534,4.352449
1978,4.232094,4.432504
1979,4.494793,4.465701
1980,4.773477,4.364099
1981,4.493665,4.168842
1982,4.532977,4.060496
1983,4.455934,4.023942
1984,4.496599,4.068703
1985,4.300688,4.137420
1986,4.852702,4.122175
1987,5.544564,4.179654
1988,5.478161,4.262697
1989,5.697994,4.241189
1990,5.895543,4.266701
1991,6.428610,4.282473
1992,6.798176,4.090168
1993,6.964337,4.068620
1994,7.097465,4.047994
1995,6.799348,4.083544
1996,7.060943,4.148108
1997,7.021624,4.114970
1998,7.213234,4.044522
1999,7.370255,4.079117
2000,7.499365,4.133621
2001,7.239356,4.107635
2002,7.307565,4.144280
2003,7.563875,4.307030
2004,7.650352,4.399256
2005,7.674240,4.493561
2006,7.760804,4.585831
2007,7.900584,4.661509
2008,7.966479,4.682571
2009,7.606101,4.545518
2010,7.157038,4.744937
2011,6.796695,4.848876
2012,6.231068,4.854014
2013,5.556380,4.837742
2014,5.766170,4.804597
2015,5.701079,4.739116
2016,5.941197,4.682487
2017,5.955059,4.705259
2018,5.763744,4.752195
2019,5.692584,4.747814
2020,5.300970,4.457744
2021,5.276501,4.634748
2022,5.310904,4.678452
2023,5.344400,4.707772
2024,5.373941,4.729075
