"Year","Non-metallic minerals","Cars","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","Agriculture/forestry/fishing: Stationary combustion","All other Manufacturing industries and construction","All others"
1990,0,0,0.003514,0.014437,0,0,0.012544
1991,0,0,0.003193,0.012258,0,0,0.012544
1992,0,0,0.003168,0.012084,0,0,0.012544
1993,0,0,0.003155,0.011997,0,0,0.012544
1994,0,0,0.004396,0.011007,0,0,0.045360
1995,0,0,0.012733,0.020528,0,0,0.043456
1996,0,0,0.013311,0.024450,0,0,0.036736
1997,0,0,0.012463,0.018697,0,0,0.032256
1998,0,0,0.014038,0.019974,0,0,0.035168
1999,0,0,0.012694,0.020266,0,0,0.031472
2000,0.004309,0,0.009262,0.015796,0,0,0.027776
2001,0.007357,0,0.009288,0.015970,0,0,0.028336
2002,0.009459,0,0.012514,0.019046,0,0,0.026320
2003,0.022177,0,0.012425,0.018436,0,0,0.023408
2004,0.013348,0,0.013999,0.019713,0,0,0.020608
2005,0.003994,0,0.017265,0.023050,0,0,0.019488
2006,0.006762,0,0.017020,0.025395,0,0,0.015120
2007,0.009533,0.002650,0.024528,0.031094,0.000819,0,0.030688
2008,0.028270,0.042460,0.028928,0.044894,0.004359,0,0.023632
2009,0.027659,0.045110,0.030725,0.058937,0.010249,0.000819,0.005264
2010,0.033877,0.045110,0.025979,0.039858,0.012805,0.001638,0.005376
2011,0.021364,0.047760,0.027465,0.049578,0.020378,0.003658,0.005040
2012,0.010499,0.047760,0.029215,0.056094,0.021776,0.003822,0.009184
2013,0.015829,0.045110,0.028762,0.049980,0.021307,0.003713,0.007952
2014,0.025732,0.029190,0.028479,0.039969,0.021801,0.012258,0.006496
2015,0.040601,0.029190,0.036307,0.068994,0.021624,0.009667,0.010528
2016,0.046165,0.026540,0.033462,0.073722,0.022488,0.009413,0.018256
2017,0.079542,0.025730,0.037301,0.088579,0.023244,0.010904,0.019253
2018,0.113063,0.026870,0.032828,0.092843,0.024527,0.012133,0.012497
2019,0.095102,0.032250,0.035007,0.095110,0.025703,0.015255,0.010419
2020,0.146532,0.072230,0.032368,0.100917,0.026097,0.012851,0.009060
2021,0.160580,0.072970,0.033152,0.092409,0.025731,0.010303,0.010346
2022,0.128195,0.069550,0.039581,0.098462,0.024654,0.023775,0.016190
2023,0.116862,0.063748,0.032194,0.085745,0.023108,0.018290,0.008956
