"Year","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,4.921569,4.626875,4.673084,4.662891,4.620990,4.643056,4.654472,4.656894,4.651680,4.653217,4.644861,4.645473,4.647757
1991,5.163076,5.070235,5.170123,5.146824,5.107066,5.131819,5.144169,5.146609,5.141180,5.142773,5.133205,5.133571,5.136100
1992,5.506304,5.413222,5.549212,5.523608,5.482956,5.507155,5.520248,5.522906,5.515863,5.517491,5.505656,5.506080,5.508841
1993,5.766248,5.675480,5.799822,5.778879,5.733669,5.751370,5.764270,5.766974,5.759258,5.760916,5.749300,5.749707,5.752779
1994,6.203577,5.914870,6.042796,6.022496,5.977252,5.994023,6.008315,6.011113,6.000649,6.002476,5.991493,5.991909,5.994995
1995,6.088175,5.776694,5.909988,5.892125,5.848039,5.864316,5.879305,5.882266,5.872254,5.874107,5.861933,5.862403,5.865764
1996,6.450632,6.120638,6.222806,6.202075,6.156116,6.214478,6.230170,6.233230,6.222419,6.224288,6.211888,6.212346,6.215677
1997,6.542005,6.221586,6.345006,6.331056,6.287014,6.301201,6.317859,6.321030,6.310214,6.312090,6.298291,6.298745,6.302385
1998,6.623889,6.516786,6.639437,6.621146,6.580278,6.593753,6.611351,6.614649,6.607266,6.609144,6.592488,6.592938,6.596848
1999,6.894131,6.786681,6.893735,6.889012,6.847634,6.860796,6.879092,6.882470,6.873950,6.875935,6.858746,6.859513,6.863432
2000,7.143542,7.037972,7.157518,7.139527,7.095916,7.108860,7.127341,7.145880,7.120330,7.122416,7.104597,7.102956,7.106901
2001,6.999602,6.906864,7.017825,7.001907,6.969452,6.982241,7.002300,7.021412,6.994276,6.996583,6.978500,6.976484,6.979659
2002,7.191947,7.102886,7.207902,7.192909,7.160375,7.170780,7.192884,7.210779,7.183619,7.185924,7.169426,7.167923,7.171937
2003,7.583918,7.483989,7.597252,7.582904,7.550072,7.560235,7.584812,7.605551,7.574158,7.576801,7.559648,7.557609,7.560774
2004,7.804818,7.713048,7.825095,7.810962,7.776895,7.787751,7.815231,7.840939,7.800745,7.803428,7.788730,7.787509,7.787102
2005,7.856871,7.857893,7.979984,7.961705,7.961971,7.972170,8.002960,8.031301,7.954994,7.957711,7.957322,7.959386,7.951671
2006,8.127001,8.036211,8.164688,8.151987,8.152484,8.160845,8.194917,8.223174,8.182561,8.185408,8.185009,8.186459,8.183131
2007,8.372090,8.310857,8.478249,8.458138,8.458655,8.472613,8.510728,8.538918,8.501640,8.504782,8.503495,8.505346,8.475067
2008,8.629932,8.474103,8.644311,8.619746,8.620387,8.634194,8.676347,8.707253,8.714141,8.717247,8.715729,8.718075,8.691636
2009,8.351764,8.203318,8.391918,8.371741,8.372387,8.382599,8.427299,8.453798,8.468573,8.471739,8.470194,8.474948,8.437988
2010,7.991556,7.831819,8.021554,8.004588,8.004902,8.017877,8.062595,8.089011,8.099604,8.102698,8.101123,8.104226,8.071821
2011,7.672292,7.566186,7.728634,7.696327,7.696660,7.700195,7.749056,7.759468,7.786009,7.789403,7.787636,7.790620,7.792363
2012,,7.082826,7.173694,7.160698,7.164090,7.169927,7.216748,7.234892,7.261686,7.264032,7.262770,7.264883,7.261668
2013,,,6.458369,6.449420,6.487246,6.494859,6.538307,6.554364,6.581495,6.583978,6.582609,6.584173,6.578171
2014,,,,6.878331,6.878367,6.878543,6.921199,6.934592,6.949659,6.952145,6.950800,6.952601,6.929789
2015,,,,,6.859647,6.902871,6.946281,6.960129,6.970371,6.972964,6.971575,6.974856,6.952477
2016,,,,,,7.307799,7.351797,7.368228,7.373018,7.375415,7.373670,7.357901,7.349926
2017,,,,,,,7.528192,7.515688,7.523104,7.525365,7.503812,7.479323,7.469282
2018,,,,,,,,7.332762,7.340346,7.342546,7.321720,7.341773,7.324203
2019,,,,,,,,,7.339882,7.343176,7.342336,7.345381,7.324482
2020,,,,,,,,,,7.269578,6.910908,6.925657,6.903173
2021,,,,,,,,,,,7.029358,7.081446,6.950782
2022,,,,,,,,,,,,7.118393,7.070778
2023,,,,,,,,,,,,,7.188089
