"Year","Wind","Solar"
2016,0.004845,0.019279
2017,-0.015253,0.026075
2018,0.009592,0.027480
2019,0.017525,0.018774
2020,0.001843,0.077341
2021,0.006070,0.172730
2022,-0.027687,0.133521
2023,-0.011696,0.228664
2024,-0.005788,0.245301
2025,-0.010574,0.207260
