"YYYYMM","Diesel"
201001,0.976538
201002,0.762805
201003,0.810711
201004,0.626459
201005,0.840191
201006,0.762805
201007,0.737010
201008,0.884412
201009,0.792286
201010,0.644884
201011,0.681734
201012,1.636162
201101,0.648569
201102,0.361135
201103,0.773861
201104,1.168161
201105,0.748065
201106,2.284731
201107,3.021741
201108,0.921263
201109,0.718585
201110,1.142366
201111,0.810711
201112,0.353765
201201,1.252917
201202,0.294804
201203,0.921263
201204,0.663309
201205,1.768824
201206,0.902837
201207,0.740695
201208,0.755435
201209,0.722270
201210,0
201211,0.534332
201212,0.700160
201301,0.755435
201302,0.924948
201303,0.626459
201304,0.799656
201305,0.972853
201306,1.068665
201307,0.534332
201308,0.641199
201309,0.626459
201310,0.239528
201311,0
201312,0
201401,0.331655
201402,0.368505
201403,0.508168
201404,0.648569
201405,0.147402
201406,0.683577
201407,0.663309
201408,0.652254
201409,0.280064
201410,0.250583
201411,0.512222
201412,0.851247
201501,0
201502,0
201503,0
201504,0
201505,0
201506,0
201507,0
201508,0
201509,0
201510,0
201511,0
201512,0
201601,0.851247
201602,0.574868
201603,0.412726
201604,0.684645
201605,0.641199
201606,0.110552
201607,0.480899
201608,0.221103
201609,0
201610,0.549072
201611,0.255005
201612,0.441469
201701,1.020759
201702,0.777914
201703,0
201704,1.037710
201705,0
201706,0.772755
201707,1.231912
201708,0
201709,0.737010
201710,0.984277
201711,0.552758
201712,0
201801,0.744380
201802,0.526962
201803,0.630144
201804,0.560128
201805,0.818818
201806,0.613192
201807,0.596978
201808,0.626090
201809,0.534148
201810,0.585186
201811,0.582238
201812,0.641199
201901,18.661093
201902,21.200093
201903,10.572408
201904,0.298489
201905,0.740695
201906,0.460631
201907,0.451050
201908,0.707530
201909,0.744380
201910,0.501167
201911,0.420096
201912,0.471686
202001,0.316914
202002,0.680629
202003,0.420096
202004,0.519592
202005,0.494534
202006,0.458789
202007,0.748434
202008,2.219874
202009,1.575469
202010,0.603685
202011,0.453814
202012,0.631249
202101,0.631065
202102,0.509458
202103,0.397985
202104,0.431151
202105,0.678049
202106,0.593293
202107,0.401670
202108,4.915857
202109,22.854680
202110,23.694872
202111,24.630874
202112,24.627189
202201,25.688484
202202,22.515656
202203,22.360883
202204,0.549072
202205,5.439134
202206,12.068539
202207,12.538751
202208,8.443924
202209,0.409041
202210,0.519592
202211,0.630144
202212,0.486427
202301,0.490112
202302,0.582938
202303,0.557474
202304,11.106041
202305,15.026086
202306,13.357053
202307,13.163035
202308,1.484743
202309,0.401670
202310,0.368505
202311,0.184253
202312,12.358958
202401,21.149423
202402,21.214833
202403,20.378327
202404,20.691556
202405,19.320717
202406,18.362604
202407,17.564791
202408,18.075170
202409,7.067926
202410,0
202411,0
202412,0
202501,0
202502,0
202503,0
202504,0
202505,0
202506,0
