"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-31.580145,13.558176,-0.407052,-0.000092,-0.215639,0.768918
1991,-31.566854,12.780009,-0.244035,-0.000092,-0.226152,0.791289
1992,-31.554436,12.137168,-0.062821,-0.000092,-0.235993,0.791218
1993,-31.542918,13.393653,-0.411100,-0.000092,-0.245427,0.791589
1994,-35.159597,15.456319,-1.249312,-0.000092,-0.255556,0.791206
1995,-35.148224,17.413023,-1.729518,-0.000092,-0.265686,0.790823
1996,-35.131087,17.179554,-1.534264,-0.000092,-0.283114,0.791805
1997,-35.115442,20.837397,-2.508321,-0.000092,-0.301576,0.791666
1998,-35.101422,22.708837,-2.892710,-0.000092,-0.318717,0.792958
1999,-35.869741,28.692042,-4.611069,-0.000092,-0.337551,0.792416
2000,-35.858781,24.183458,-2.952527,-0.000092,-0.355681,0.792637
2001,-35.787654,22.797366,-2.622606,-0.000291,-0.367330,0.790733
2002,-35.718269,24.100097,-2.781334,-0.000489,-0.378978,0.788830
2003,-35.650642,24.756432,-2.747235,-0.000688,-0.390626,0.786927
2004,-31.367307,23.592616,-2.278910,-0.000886,-0.401939,0.785465
2005,-31.313602,24.339216,-2.567055,-0.001085,-0.413588,0.783562
2006,-31.261743,21.876859,-1.527341,-0.001284,-0.425236,0.781659
2007,-31.211762,22.401435,-1.475196,-0.001482,-0.436884,0.779756
2008,-31.163690,20.482854,-0.632826,-0.001681,-0.448533,0.777853
2009,-30.615932,26.771367,-4.435836,-0.001681,-0.447478,0.771043
2010,-30.816156,30.444133,-5.404802,-0.001589,-0.416447,0.770616
2011,-30.888493,29.126980,-4.522745,-0.001589,-0.406564,0.770189
2012,-30.961892,27.628613,-3.604281,-0.001589,-0.396958,0.769765
2013,-31.036285,28.075495,-3.315385,-0.001589,-0.387741,0.769346
2014,-28.619196,30.013285,-3.605617,-0.002167,-0.393343,0.739833
2015,-30.881800,29.083956,-2.031955,-0.002745,-0.399919,0.737939
2016,-32.755077,30.124259,-2.385236,-0.003323,-0.399202,0.736434
2017,-34.748545,30.340572,-2.310312,-0.003901,-0.397465,0.734928
2018,-34.606274,30.688869,-2.133884,-0.004479,-0.397022,0.733422
2019,-34.960827,29.844416,-1.725222,-0.005052,-0.400113,0.723401
2020,-34.029510,29.885810,-1.071517,-0.005624,-0.403658,0.717928
2021,-33.072318,30.723418,-0.681516,-0.005997,-0.413148,0.714211
2022,-32.157643,32.939338,-1.485669,-0.006371,-0.424332,0.696162
2023,-32.909523,33.272337,-1.657062,-0.006744,-0.431661,0.718087
2024,-32.882614,33.780783,-2.144940,-0.006961,-0.430194,0.707984
