"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,13.504925,18.652741,4.590424,2.783893,0,-12.522134
1991,11.206007,16.897776,4.530364,2.708769,0,-12.930902
1992,6.046707,13.080144,4.061397,2.224271,0,-13.319105
1993,2.712231,10.895807,3.172067,1.840572,0,-13.196216
1994,-2.134928,9.347483,2.976097,1.637642,0,-16.096149
1995,-2.366288,8.100686,2.972362,1.502848,0.016428,-14.958612
1996,-2.532357,8.176796,2.931084,1.505478,0.028216,-15.173931
1997,-1.321903,7.642645,2.894924,1.508928,0.037643,-13.406041
1998,-0.879609,7.268040,2.794151,1.469288,0.046137,-12.457226
1999,2.011023,6.646540,2.674305,1.416602,0.054340,-8.780765
2000,-1.854520,6.031395,2.646073,1.429571,0.062761,-12.024319
2001,-2.275768,6.482132,2.713265,1.496801,0.071128,-13.039094
2002,-0.575254,6.469291,2.712889,1.468666,0.079775,-11.305876
2003,0.037099,6.693083,2.630290,1.509208,0.088530,-10.884012
2004,3.681556,6.698833,2.553082,1.495880,0.096724,-7.162963
2005,4.419120,6.802965,2.582886,1.528661,0.105131,-6.600523
2006,4.114543,7.247514,2.573053,1.535853,0.131846,-7.373723
2007,4.993979,7.619542,2.586488,1.575770,0.152517,-6.940338
2008,4.156789,7.176383,2.567038,1.555547,0.176353,-7.318532
2009,6.919345,6.411842,2.610585,1.579111,0.189146,-3.871339
2010,9.797821,7.496199,2.539429,1.612101,0.223930,-2.073839
2011,8.615845,6.736750,2.500573,1.611752,0.225232,-2.458464
2012,7.093355,6.426513,2.567607,1.675866,0.224690,-3.801321
2013,8.309373,6.249596,2.612563,1.705832,0.238027,-2.496645
2014,12.222051,6.010469,2.713987,1.738740,0.251619,1.507235
2015,11.022605,6.051899,2.647755,1.792477,0.262135,0.268340
2016,9.202360,5.948274,2.715264,1.800206,0.281736,-1.543119
2017,7.799143,5.900913,2.789230,1.819457,0.274550,-2.985007
2018,10.781630,6.434263,2.777134,1.782266,0.270020,-0.482053
2019,8.917857,6.238455,2.759071,1.864006,0.265600,-2.209275
2020,11.023535,5.591546,2.743892,1.902289,0.256452,0.529356
2021,12.690574,5.784297,2.751757,1.904430,0.271866,1.978223
2022,15.808027,5.149147,2.781304,1.911920,0.263955,5.701701
2023,14.598692,5.186832,2.704544,1.803572,0.273983,4.629762
