"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,-18.948291,-18.701341,-18.453380,-20.691046,-20.691046,-20.708088,-21.439325,-18.906375,-15.434819,-16.249792,-22.474478,-20.064430,-9.782418,-9.305338,-9.666631,-11.750803,-10.905610,-11.214160,-13.401939,-13.401954,-13.398947,-13.398948,-13.530996
1991,-17.804430,-17.675125,-17.480329,-21.260492,-21.260492,-21.279492,-22.816081,-20.256420,-17.098671,-17.885191,-23.211677,-21.152453,-10.033785,-9.561482,-9.954721,-12.172332,-11.310932,-11.674582,-13.836476,-13.836492,-13.832479,-13.832479,-13.952712
1992,-18.482253,-18.288158,-18.065914,-21.587622,-21.587622,-21.619437,-23.943378,-21.319581,-18.240995,-18.999062,-23.309865,-19.841843,-11.463739,-10.989608,-11.405543,-13.482905,-11.761219,-12.148776,-14.284913,-14.284930,-14.312228,-14.312228,-14.432494
1993,-17.555145,-17.172460,-17.000152,-20.746858,-20.746858,-20.820875,-24.058087,-21.413625,-17.860122,-18.589772,-21.991116,-19.644930,-10.602114,-10.132170,-10.534297,-12.541040,-11.636205,-11.993952,-14.104457,-14.104476,-14.101757,-14.101757,-14.222083
1994,-15.598921,-15.706254,-14.481857,-19.827817,-19.827817,-19.961110,-24.099657,-21.273517,-17.195321,-17.896517,-23.068109,-20.799030,-11.445807,-10.951164,-11.177502,-15.461100,-14.539321,-14.918699,-17.003700,-17.003719,-16.998510,-16.998510,-17.118848
1995,-14.540179,-14.730244,-14.630264,-17.688292,-17.688292,-17.708051,-24.164643,-21.463767,-16.506342,-17.179048,-21.811744,-18.847047,-10.428628,-9.941321,-10.077511,-14.396380,-13.451165,-13.815214,-15.874837,-15.874857,-15.871517,-15.871517,-15.991868
1996,-14.755456,-14.938663,-14.841226,-18.905292,-18.905292,-18.924259,-25.166890,-22.440999,-17.928449,-18.169823,-22.285264,-19.456522,-11.084531,-10.632302,-10.892069,-14.711605,-13.719134,-13.987266,-16.033830,-16.033928,-16.039384,-16.039384,-16.208794
1997,-11.152207,-11.724038,-11.793876,-16.660740,-16.660740,-16.680144,-23.786685,-21.039736,-15.344987,-15.573345,-20.426393,-16.646439,-9.427670,-8.970227,,-12.877786,-12.026120,-12.251468,-14.270910,-14.271012,-14.273057,-14.273057,-14.443313
1998,-9.331622,-10.102078,-10.273840,-15.506787,-15.506787,-15.526191,-23.413471,-20.658457,-14.306550,-14.521891,-19.415983,-15.139369,-8.554765,-8.099883,,-11.912083,-11.134860,-11.331680,-13.324309,-13.324415,-13.324093,-13.324093,-13.495208
1999,-8.207701,-9.095195,-9.349535,-14.685673,-14.685673,-14.705026,-23.456606,-20.692098,-13.800130,-14.002455,-19.567594,-14.827307,-5.274690,-4.811489,,-8.381405,-7.567936,-7.707740,-9.673863,-9.673973,-9.680126,-9.680126,-9.852084
2000,-8.222473,-8.585332,-8.640013,-14.171856,-14.171856,-14.194674,-24.456979,-21.679592,-14.539580,-14.728888,-19.464372,-14.420974,-8.105264,-7.639925,,-10.702423,-9.847477,-10.957811,-12.897156,-12.897272,-12.901361,-12.901361,-13.074554
2001,-9.256251,-9.560414,-9.594202,-14.225393,-14.225393,-14.970475,-30.012284,-23.198853,-14.725585,-15.008826,-19.059659,-14.332942,-8.865312,-8.412476,,-11.557647,-10.603640,-11.385924,-13.329085,-13.329657,-13.376611,-13.365027,-14.053468
