2013,,,,,,,,,,,,-26.962477,-25.234371,-24.362894,,-23.354033,-20.369636,-23.997063,-26.707142,-26.622618,-25.923786,-26.034502
2014,,,,,,,,,,,,,-24.602489,-23.990206,,-26.158111,-22.550183,-26.010196,-27.028484,-26.805671,-25.859917,-25.875143
2015,,,,,,,,,,,,,,-23.964006,,-25.547911,-23.410346,-27.117099,-26.986323,-26.774749,-25.936568,-25.979442
2016,,,,,,,,,,,,,,,,-25.065494,-22.768930,-25.631100,-26.626727,-26.478293,-25.312594,-25.388996
2017,,,,,,,,,,,,,,,,-24.158291,-22.912731,-26.134808,-25.052325,-24.840849,-23.795074,-23.850896
2018,,,,,,,,,,,,,,,,,-23.568610,-26.957290,-24.613496,-24.407147,-22.729000,-22.723599
2019,,,,,,,,,,,,,,,,,,-27.612529,-23.384745,-24.267081,-21.925815,-21.944258
2020,,,,,,,,,,,,,,,,,,,-23.666233,-23.598104,-21.404689,-21.300626
2021,,,,,,,,,,,,,,,,,,,,-21.358209,-20.771247,-20.942972
2022,,,,,,,,,,,,,,,,,,,,,-19.590944,-19.661578
2023,,,,,,,,,,,,,,,,,,,,,,-20.510976
