"Year","New Zealand","World"
1950,4.483452,2.378734
1951,4.187188,2.515504
1952,4.665329,2.502896
1953,4.175628,2.524970
1954,4.329394,2.527923
1955,4.389847,2.716614
1956,4.428149,2.835461
1957,4.613295,2.869636
1958,4.455153,2.891376
1959,4.422243,2.985590
1960,4.846341,3.112931
1961,4.838006,3.071906
1962,4.507434,3.120741
1963,4.813229,3.215595
1964,5.057213,3.315825
1965,5.190714,3.391959
1966,5.218954,3.484865
1967,5.003557,3.523155
1968,4.891260,3.640223
1969,5.120333,3.802135
1970,5.024485,4.032588
1971,5.248740,4.112597
1972,5.545791,4.219747
1973,6.109571,4.355556
1974,6.168545,4.253289
1975,5.905014,4.173319
1976,6.156307,4.310191
1977,6.468966,4.352449
1978,5.736036,4.432504
1979,5.250327,4.465701
1980,5.556468,4.364099
1981,5.241076,4.168842
1982,5.736117,4.060496
1983,5.590723,4.023942
1984,5.950042,4.068703
1985,6.688423,4.137420
1986,6.992511,4.122175
1987,7.324043,4.179654
1988,7.673562,4.262697
1989,7.634833,4.241189
1990,7.503758,4.266701
1991,7.518076,4.282473
1992,7.970561,4.090168
1993,7.764127,4.068620
1994,7.700896,4.047994
1995,7.617362,4.083544
1996,7.853263,4.148108
1997,8.276897,4.114970
1998,7.828492,4.044522
1999,8.197661,4.079117
2000,8.352692,4.133621
2001,8.827951,4.107635
2002,8.736565,4.144280
2003,9.004049,4.307030
2004,8.767519,4.399256
2005,9.045027,4.493561
2006,8.920364,4.585831
2007,8.614816,4.661509
2008,8.795636,4.682571
2009,8.037123,4.545518
2010,8.001095,4.744937
2011,7.812796,4.848876
2012,8.141633,4.854014
2013,7.907586,4.837742
2014,7.826547,4.804597
2015,7.760050,4.739116
2016,7.240004,4.682487
2017,7.409744,4.705259
2018,7.281761,4.752195
2019,7.357717,4.747814
2020,6.727745,4.457744
2021,6.773408,4.634748
2022,6.229058,4.678452
2023,6.101066,4.707772
2024,6.229340,4.729075
