"Year","New Zealand","World"
1950,3.089832,2.372741
1951,2.760536,2.509281
1952,3.043776,2.496828
1953,2.719921,2.519009
1954,2.738196,2.522133
1955,2.642237,2.710743
1956,2.659322,2.829705
1957,2.585962,2.864250
1958,2.632108,2.886446
1959,2.662359,2.981084
1960,2.798847,3.109071
1961,2.661348,3.068418
1962,2.269499,3.117449
1963,2.388945,3.212604
1964,2.457192,3.313059
1965,2.230021,3.389338
1966,2.138554,3.482441
1967,1.923623,3.521091
1968,1.785716,3.638560
1969,1.847561,3.800910
1970,1.840050,4.031813
1971,1.612463,4.112250
1972,1.626074,4.219880
1973,1.803556,4.358162
1974,1.835248,4.257539
1975,1.697175,4.190445
1976,1.730846,4.342568
1977,1.642301,4.387958
1978,1.512051,4.445411
1979,1.348737,4.491730
1980,1.495454,4.385349
1981,1.531379,4.204303
1982,1.536088,4.095304
1983,1.685385,4.047822
1984,1.723502,4.114002
1985,1.638676,4.177916
1986,1.701715,4.164586
1987,1.472217,4.215461
1988,1.648365,4.303169
1989,1.859492,4.285587
1990,1.715146,4.275440
1991,1.755829,4.288762
1992,1.970547,4.101485
1993,2.198073,4.079975
1994,1.992046,4.061836
1995,2.407503,4.097368
1996,2.422127,4.164388
1997,2.250387,4.131378
1998,1.936926,4.059213
1999,2.222315,4.096031
2000,2.201196,4.148800
2001,2.478854,4.125716
2002,2.807259,4.162733
2003,3.130962,4.327484
2004,3.117841,4.421495
2005,3.134152,4.515645
2006,3.334422,4.611727
2007,2.746795,4.688505
2008,2.726757,4.708763
2009,2.511529,4.572416
2010,2.968405,4.774950
2011,2.717858,4.878259
2012,2.679012,4.887112
2013,2.519336,4.868795
2014,2.125990,4.830362
2015,1.727025,4.767311
2016,1.424320,4.713752
2017,1.418117,4.735624
2018,1.528033,4.780249
2019,1.401887,4.778430
2020,1.256372,4.479880
2021,1.275942,4.676995
2022,1.182087,4.676281
2023,1.168759,4.697341
