"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,44.230702,25.521736,36.318250,4.886643,0.838594,-23.334521
1991,43.429312,26.201178,36.621361,4.982816,0.833969,-25.210013
1992,45.318275,28.184875,36.158997,5.009500,0.438191,-24.473288
1993,44.619555,27.777467,36.336255,5.164218,0.212767,-24.871152
1994,47.065573,27.912241,37.725706,5.381928,0.204452,-24.158755
1995,49.051071,28.016318,37.992598,5.584547,0.197218,-22.739611
1996,52.350364,29.313536,38.982754,5.692656,0.326113,-21.964695
1997,54.336827,31.289086,39.604172,5.727395,0.344889,-22.628715
1998,51.434220,29.835015,38.836053,5.694421,0.289876,-23.221146
1999,50.554557,31.473963,38.713193,5.733678,0.315086,-25.681364
2000,51.939447,32.251168,39.726702,5.962757,0.350009,-26.351189
2001,54.419475,34.384905,40.002728,6.258464,0.406009,-26.632630
2002,56.039108,34.546513,39.709507,6.378387,0.480663,-25.075962
2003,57.639760,36.245225,40.021107,6.596817,0.584761,-25.808151
2004,57.899291,35.831430,40.263994,6.693307,0.673017,-25.562457
2005,62.225501,37.427097,40.453247,6.722194,0.761725,-23.138762
2006,64.603423,37.329581,40.849353,6.538301,0.892122,-21.005933
2007,64.451307,36.407327,39.570080,6.369354,0.912555,-18.808009
2008,54.562720,37.508826,38.398448,6.370179,0.998526,-28.713259
2009,52.906039,34.617034,38.426143,6.326782,1.081510,-27.545430
2010,52.619297,34.810031,38.711596,6.487304,1.103506,-28.493141
2011,52.276914,34.263492,38.849921,6.628202,1.135490,-28.600192
2012,57.853727,35.940533,39.359221,6.742056,1.184623,-25.372706
2013,57.216163,35.241052,39.125295,6.763954,1.225662,-25.139800
2014,57.880287,35.451515,39.349289,6.897505,1.286849,-25.104870
2015,57.796166,35.826060,38.958240,6.932047,1.291616,-25.211796
2016,56.151031,34.179575,38.430780,6.904613,1.305477,-24.669414
2017,58.485541,35.655587,38.338920,6.960972,1.346214,-23.816153
2018,59.695756,35.712691,38.410261,7.052509,1.387751,-22.867456
2019,61.493656,36.659752,38.518956,7.063482,1.416123,-22.164657
2020,59.211423,34.126570,38.342216,7.074220,1.417932,-21.749515
2021,59.456615,34.558426,38.292940,7.024398,1.652170,-22.071319
2022,57.795632,31.886975,37.420006,6.811416,1.544300,-19.867064
2023,55.932474,31.326170,36.742039,6.634585,1.196139,-19.966459
2024,54.834128,31.436162,36.514074,6.726497,1.134875,-20.977480
