"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,4.366085,1.902625,3.396279
1991,4.869266,1.992716,3.524233
1992,5.515820,2.167683,3.569601
1993,5.916025,2.342219,3.487342
1994,6.249474,2.690719,3.489711
1995,6.607832,2.800849,3.610451
1996,7.064613,2.967511,3.790725
1997,7.435340,3.131879,3.921016
1998,8.106496,3.511633,4.244619
1999,8.527384,3.719054,4.475089
2000,9.149110,4.178660,5.106534
2001,9.254887,4.242898,5.338668
2002,9.859070,4.173765,5.241726
2003,9.977220,4.096969,5.116913
2004,10.089153,4.143509,4.891891
2005,10.028326,4.174830,4.632948
2006,10.069933,4.319213,4.484805
2007,9.953035,4.311127,4.211879
2008,9.903064,4.312424,3.961742
2009,10.113168,4.285319,3.749557
2010,10.047916,4.249907,3.644651
2011,9.466308,3.939315,3.276228
2012,8.874684,3.542753,2.872897
2013,8.857773,3.416148,2.670063
2014,9.136430,3.412338,2.707624
2015,9.274887,3.391286,2.704239
2016,9.504195,3.428164,2.828734
2017,9.747148,3.438985,2.841062
2018,9.820459,3.406170,2.871028
2019,10.163883,3.439441,2.969532
2020,8.603301,2.875702,2.540269
2021,9.140714,3.063185,2.760624
2022,9.519375,3.507209,2.905526
2023,10.135618,3.804691,3.036649
