"Year","Portugal","World"
1950,0.100130,2.378734
1951,0.097340,2.515504
1952,0.100106,2.502896
1953,0.105332,2.524970
1954,0.094821,2.527923
1955,0.093449,2.716614
1956,0.105674,2.835461
1957,0.128368,2.869636
1958,0.135193,2.891376
1959,0.127595,2.985590
1960,0.109462,3.112931
1961,0.113242,3.071906
1962,0.103131,3.120741
1963,0.103001,3.215595
1964,0.100711,3.315825
1965,0.095704,3.391959
1966,0.086927,3.484865
1967,0.089519,3.523155
1968,0.079912,3.640223
1969,0.079717,3.802135
1970,0.051363,4.032588
1971,0.047932,4.112597
1972,0.046934,4.219747
1973,0.040604,4.355556
1974,0.041772,4.253289
1975,0.039675,4.173319
1976,0.034155,4.310191
1977,0.034009,4.352449
1978,0.030980,4.432504
1979,0.030470,4.465701
1980,0.029876,4.364099
1981,0.030705,4.168842
1982,0.029688,4.060496
1983,0.030677,4.023942
1984,0.032169,4.068703
1985,0.039271,4.137420
1986,0.034462,4.122175
1987,0.037578,4.179654
1988,0.037328,4.262697
1989,0.037683,4.241189
1990,0.044849,4.266701
1991,0.043189,4.282473
1992,0.035376,4.090168
1993,0.031497,4.068620
1994,0.023441,4.047994
1995,0,4.083544
1996,0,4.148108
1997,0,4.114970
1998,0,4.044522
1999,0,4.079117
2000,0,4.133621
2001,0,4.107635
2002,0,4.144280
2003,0,4.307030
2004,0,4.399256
2005,0,4.493561
2006,0,4.585831
2007,0,4.661509
2008,0,4.682571
2009,0,4.545518
2010,0,4.744937
2011,0,4.848876
2012,0,4.854014
2013,0,4.837742
2014,0,4.804597
2015,0,4.739116
2016,0,4.682487
2017,0,4.705259
2018,0,4.752195
2019,0,4.747814
2020,0,4.457744
2021,0,4.634748
2022,0,4.678452
2023,0,4.707772
2024,0,4.729075
