"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-22.409838,22.241068,,-0.046949,-1.611350,
1991,-22.665645,21.794558,,-0.046978,-1.611938,
1992,-22.921453,21.098571,,-0.047006,-1.612526,
1993,-23.177260,21.004898,,-0.047035,-1.613114,
1994,-23.433068,20.485080,,-0.047064,-1.613702,
1995,-23.688875,19.820708,,-0.047093,-1.614290,
1996,-23.886678,21.541996,,-0.050439,-1.575862,
1997,-24.084482,21.526929,,-0.053786,-1.537433,
1998,-24.282285,20.898267,,-0.057132,-1.499005,
1999,-24.480089,21.498494,,-0.060478,-1.460577,
2000,-24.677892,23.995533,,-0.063824,-1.422148,
2001,-24.876207,21.487815,,-0.067180,-1.383570,
2002,-25.074521,21.282831,,-0.070536,-1.344991,
2003,-25.272836,22.552682,,-0.073891,-1.306413,
2004,-25.471151,24.076543,,-0.077247,-1.267834,
2005,-25.669465,23.988020,,-0.080602,-1.229255,
2006,-25.867780,26.051856,,-0.083958,-1.190677,
2007,-26.068025,26.041935,,-0.087353,-1.152227,
2008,-26.117230,23.634338,,-0.085645,-1.075494,
2009,-26.166435,22.735251,,-0.083936,-0.998761,
2010,-26.215640,22.760794,,-0.082227,-0.922028,
2011,-26.279926,24.647352,,-0.080325,-0.839168,
2012,-26.344212,24.393916,,-0.078422,-0.756308,
2013,-26.399104,24.264348,,-0.076448,-0.673017,
2014,-26.453996,25.134522,,-0.074474,-0.589726,
2015,-26.508887,25.463164,,-0.072500,-0.506436,
2016,-26.552554,25.252242,,-0.066781,-0.464942,
2017,-26.596221,25.963292,,-0.061063,-0.423449,
2018,-26.639888,25.192220,,-0.055344,-0.381955,
2019,-26.683555,25.443317,,-0.049626,-0.340462,
2020,-26.727222,24.033224,,-0.043907,-0.298969,
2021,-26.770889,25.615292,,-0.038179,-0.257626,
2022,-26.814556,25.703062,,-0.032451,-0.216283,
2023,-26.858223,25.623762,,-0.026723,-0.174939,
