"Year","Portugal","World"
1950,0.667493,2.372741
1951,0.636694,2.509281
1952,0.627682,2.496828
1953,0.691546,2.519009
1954,0.671716,2.522133
1955,0.745506,2.710743
1956,0.822624,2.829705
1957,0.889573,2.864250
1958,0.858577,2.886446
1959,0.901702,2.981084
1960,0.924688,3.109071
1961,1.020358,3.068418
1962,1.043171,3.117449
1963,1.123924,3.212604
1964,1.236017,3.313059
1965,1.301532,3.389338
1966,1.332504,3.482441
1967,1.399132,3.521091
1968,1.472801,3.638560
1969,1.664297,3.800910
1970,1.754621,4.031813
1971,1.882151,4.112250
1972,2.072542,4.219880
1973,2.226519,4.358162
1974,2.273770,4.257539
1975,2.311843,4.190445
1976,2.392851,4.342568
1977,2.389786,4.387958
1978,2.357922,4.445411
1979,2.566091,4.491730
1980,2.736107,4.385349
1981,2.739288,4.204303
1982,2.927972,4.095304
1983,3.007056,4.047822
1984,2.886650,4.114002
1985,2.713809,4.177916
1986,3.018784,4.164586
1987,3.113544,4.215461
1988,3.249182,4.303169
1989,4.073946,4.285587
1990,4.527733,4.275440
1991,4.719500,4.288762
1992,5.106511,4.101485
1993,4.950792,4.079975
1994,5.015172,4.061836
1995,5.422474,4.097368
1996,5.134923,4.164388
1997,5.396464,4.131378
1998,5.816704,4.059213
1999,6.535284,4.096031
2000,6.374039,4.148800
2001,6.285019,4.125716
2002,6.670778,4.162733
2003,6.156751,4.327484
2004,6.408792,4.421495
2005,6.617640,4.515645
2006,6.151001,4.611727
2007,5.904073,4.688505
2008,5.671452,4.708763
2009,5.395616,4.572416
2010,4.995065,4.774950
2011,4.901504,4.878259
2012,4.745433,4.887112
2013,4.600892,4.868795
2014,4.606131,4.830362
2015,5.039156,4.767311
2016,4.869072,4.713752
2017,5.351928,4.735624
2018,4.989421,4.780249
2019,4.624244,4.778430
2020,4.052969,4.479880
2021,3.914840,4.676995
2022,3.961405,4.676281
2023,3.632862,4.697341
