"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2021,"NaN",0.050000,0,"NaN","NaN","NaN","NaN"
2022,"NaN",-0.210000,0,"NaN","NaN","NaN","NaN"
2023,"NaN",0.070000,0,"NaN","NaN","NaN","NaN"
