"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2020,0,-4.040000,0.240000,0,0.070000,0.050000,0,1.700000
2021,0,-2.530000,-0.160000,0,-0.070000,-0.030000,0,-0.440000
2022,0,-0.250000,0.110000,0,0.060000,0.130000,0,-0.320000
2023,0,-4.890000,-0.050000,0,-0.010000,-0.070000,0,-0.110000
2024,0,-1.550000,-0.020000,3.950000,-0.040000,0.050000,0,-0.450000
2025,0,-1.750000,0.410000,1.280000,0.210000,-0.290000,0,0.110000
2026,0,0.630000,-0.080000,-0.280000,-0.020000,0.010000,0,-0.010000
