"Year","Belarus","World"
1950,2.384396,2.372741
1951,2.592435,2.509281
1952,2.777702,2.496828
1953,2.932246,2.519009
1954,3.187989,2.522133
1955,3.593106,2.710743
1956,3.911391,2.829705
1957,4.242773,2.864250
1958,4.482816,2.886446
1959,4.660237,2.981084
1960,4.795087,3.109071
1961,4.885290,3.068418
1962,5.068793,3.117449
1963,5.378373,3.212604
1964,5.665902,3.313059
1965,5.960432,3.389338
1966,6.248251,3.482441
1967,6.490457,3.521091
1968,6.630268,3.638560
1969,6.861402,3.800910
1970,7.169999,4.031813
1971,7.555258,4.112250
1972,7.893853,4.219880
1973,8.172112,4.358162
1974,8.426691,4.257539
1975,8.797422,4.190445
1976,9.071206,4.342568
1977,9.314226,4.387958
1978,9.570110,4.445411
1979,9.583621,4.491730
1980,9.894628,4.385349
1981,9.649492,4.204303
1982,9.767583,4.095304
1983,9.839621,4.047822
1984,9.859049,4.114002
1985,10.558606,4.177916
1986,11.901899,4.164586
1987,10.881833,4.215461
1988,11.109117,4.303169
1989,10.503878,4.285587
1990,10.389298,4.275440
1991,9.951756,4.288762
1992,8.923616,4.101485
1993,7.686841,4.079975
1994,6.479889,4.061836
1995,5.821775,4.097368
1996,5.915300,4.164388
1997,5.921437,4.131378
1998,5.800014,4.059213
1999,5.623197,4.096031
2000,5.353295,4.148800
2001,5.293782,4.125716
2002,5.312490,4.162733
2003,5.472745,4.327484
2004,5.825521,4.421495
2005,5.969735,4.515645
2006,6.252705,4.611727
2007,6.128458,4.688505
2008,6.419853,4.708763
2009,6.208194,4.572416
2010,6.416851,4.774950
2011,6.315825,4.878259
2012,6.452123,4.887112
2013,6.616928,4.868795
2014,6.565978,4.830362
2015,6.061363,4.767311
2016,5.988239,4.713752
2017,6.116874,4.735624
2018,6.410856,4.780249
2019,6.418909,4.778430
2020,6.130075,4.479880
2021,6.362198,4.676995
2022,6.228070,4.676281
2023,5.947500,4.697341
