"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-43.517291,0.089438,0.260987,1.254004,
1991,-44.271343,0.003444,0.149711,0.326462,
1992,-43.739256,-0.092296,0.009673,-0.740971,
1993,-42.966043,-0.189136,-0.132270,-1.808404,
1994,-43.353804,-0.286342,-0.275203,-2.880710,
1995,-42.909141,-0.381386,-0.411797,-3.922568,
1996,-41.116126,-0.432755,-0.411540,-4.964390,
1997,-39.062087,-0.556415,-0.641053,-5.795056,
1998,-40.277986,-0.653841,-0.784646,-6.870660,
1999,-41.392245,-0.696856,-0.769477,-7.183162,
2000,-40.896505,-0.817512,-0.980816,-8.584239,
2001,-38.981846,-0.861077,-1.026396,-8.991676,
2002,-37.110971,-0.918272,-1.111877,-9.590740,
2003,-34.120597,-0.980157,-1.210915,-9.619759,
2004,-34.871790,-1.018775,-1.264227,-10.796709,
2005,-38.055220,-1.122283,-1.438963,-8.951848,
2006,-39.454795,-1.222420,-1.617656,-9.746240,
2007,-39.414747,-1.284488,-1.803934,-11.598502,
2008,-38.964918,-1.376528,-1.997393,-11.527604,
2009,-41.557638,-1.474064,-2.204079,-12.647835,
2010,-42.279226,-1.576143,-2.409080,-13.768066,
2011,-41.545840,-1.573981,-2.413770,-13.336484,
2012,-40.193311,-1.512902,-2.321730,-13.273683,
2013,-43.328888,-1.470693,-2.275600,-12.176205,
2014,-41.482782,-1.424527,-2.232548,-13.317358,
2015,-42.938892,-1.376492,-2.167000,-11.031058,
2016,-38.372412,-1.390085,-2.228262,-10.193871,
2017,-34.398218,-1.265692,-1.913817,-9.118633,
2018,-37.831789,-1.167424,-1.707497,-8.302551,
2019,-34.387812,-1.066371,-1.552400,-8.156760,
2020,-37.594362,-0.996058,-1.475456,-8.377992,
2021,-39.970320,-0.982208,-1.395178,-7.480386,
2022,-43.602589,-0.945239,-1.336151,-6.959951,
2023,-45.426016,-0.793000,-1.281191,-7.670401,
